ticker,IDVV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-01-24,215.0
2017-02-03,0.5291
2017-02-07,0.0
2017-02-13,-63.1579
2017-02-14,-4.0
2017-02-22,-19.6801
2017-02-23,-18.4808
2017-02-27,17.5
2017-02-28,4.4487
2017-03-01,71.4815
2017-03-03,-39.5248
2017-03-06,75.0
2017-03-24,-48.9796
2017-05-05,-32.8
2017-05-10,7.1429
2017-05-11,0.0
2017-05-12,0.5556
2017-05-15,24.3094
2017-05-16,-39.5556
2017-05-17,-12.5
2017-05-18,-14.2857
2017-05-19,11.7647
2017-05-22,-21.0526
2017-05-23,-7.2917
2017-05-24,16.7041
2017-05-25,15.1476
2017-05-26,27.6477
2017-05-30,3.4061
2017-06-01,-1.3514
2017-06-02,-31.5068
2017-06-05,0.0
2017-06-08,-49.9
2017-06-09,21.7565
2017-06-12,96.7213
2017-06-14,0.0
2017-06-22,-41.6667
2017-06-27,0.0
2017-07-05,0.0
2017-07-07,61.7143
2017-07-17,1.3816
2017-08-07,-30.2917
2017-08-08,-5.0
2017-08-10,2.2368
2017-08-21,54.4402
2017-08-22,0.0
2017-08-23,25.0
2017-08-25,4.0
2017-08-30,-23.0769
2017-09-01,12.1667
2017-09-05,9.584
2017-09-06,-0.2712
2017-09-07,-11.6247
2017-09-08,-19.2308
2017-09-14,90.4762
2017-09-15,-45.0
2017-09-18,9.0909
2017-09-19,24.0
2017-09-20,81.4516
2017-09-21,3.7037
2017-09-25,0.0
2017-09-26,0.0
2017-09-27,7.1429
2017-09-28,0.0
2017-09-29,-8.3333
2017-10-04,-9.0545
2017-10-09,-0.04
2017-10-12,20.0
2017-10-13,116.6667
2017-10-16,26.1538
2017-10-17,-60.9756
2017-10-18,84.375
2017-10-19,0.0
2017-10-20,10.1695
2017-10-23,-40.2785
2017-10-24,15.9226
2017-10-25,2.2222
2017-10-27,2.1739
2017-10-30,-21.2766
2017-11-01,16.2162
2017-11-02,0.0
2017-11-06,-20.9302
2017-11-07,5.8824
2017-11-08,-2.7778
2017-11-09,-11.4286
2017-11-10,16.129
2017-11-13,5.5556
2017-11-16,18.5395
2017-11-17,-11.1999
2017-11-20,-18.75
2017-11-21,0.0
2017-11-22,-1.5385
2017-11-27,-21.875
2017-11-28,30.0
2017-11-29,-3.6923
2017-12-01,-20.1278
2017-12-04,6.0
2017-12-05,-5.6604
2017-12-07,0.0
2017-12-12,-20.0
2017-12-13,-45.0
2017-12-14,-9.0909
2017-12-15,-2.0
