ticker,SAFS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-07-06,50.0
2007-07-30,-30.0
2007-07-31,1.9048
2007-08-01,0.0
2007-08-02,-6.5421
2007-08-03,10.0
2007-08-06,0.9091
2007-08-07,-5.4054
2007-08-13,6.6667
2007-08-15,-33.0357
2007-08-17,40.0
2007-09-06,-12.381
2007-09-07,8.6957
2007-09-14,-25.0
2007-09-17,36.0
2007-09-28,-26.4706
2007-10-02,0.0
2007-10-11,34.6667
2007-10-12,2.9703
2007-10-15,5.7692
2007-10-16,4.5455
2007-10-17,5.2174
2007-10-18,0.0
2007-10-19,-0.8264
2007-10-22,-0.8333
2007-10-24,-11.7647
2007-10-25,2.8571
2007-10-31,-12.037
2007-11-12,36.8421
2007-11-13,-15.3846
2007-11-14,9.0909
2007-11-15,-8.3333
2007-11-16,9.0909
2007-11-19,-16.6667
2007-11-20,-30.0
2007-11-26,50.0
2007-11-27,0.0
2007-11-28,-47.619
2007-11-29,83.6364
2007-11-30,0.0
2007-12-05,-44.5545
2007-12-07,-1.7856999999999998
2007-12-10,0.0
2007-12-12,81.8182
2007-12-14,-45.0
2007-12-18,0.0
2007-12-31,0.0
2008-01-04,0.0
2008-01-08,-41.8182
2008-01-09,0.0
2008-01-10,59.375
2008-01-14,-49.0196
2008-01-15,-3.8462
2008-01-16,0.0
2008-01-18,0.0
2008-01-24,0.0
2008-01-25,0.0
2008-01-29,-20.0
2008-01-30,15.0
2008-01-31,0.0
2008-02-05,8.6957
2008-02-07,-20.0
2008-02-13,50.0
2008-02-15,0.0
2008-02-19,-16.6667
2008-03-14,-4.0
2008-03-25,20.8333
2008-04-08,-51.7241
2008-04-10,-7.1429
2008-04-14,46.1538
2008-04-15,15.7895
2008-04-16,-9.0909
2008-04-18,0.0
2008-04-30,30.0
2008-05-08,-23.0769
2008-05-14,-35.0
2008-05-23,-23.0769
2008-05-29,20.0
2008-05-30,25.0
2008-06-02,-33.3333
2008-06-03,0.0
2008-06-04,-10.0
2008-06-10,22.2222
2008-06-11,-36.3636
2008-06-13,100.0
2008-06-17,-7.1429
2008-06-20,-23.0769
2008-06-24,-10.0
2008-07-01,-11.1111
2008-07-02,12.5
2008-07-11,-22.2222
2008-07-17,185.7143
2008-07-18,-5.0
2008-07-21,-26.3158
2008-07-22,0.0
2008-07-23,14.2857
2008-07-28,-50.0
2008-07-31,-25.0
2008-08-07,33.3333
2008-08-08,0.0
2008-08-11,0.0
2008-08-13,25.0
2008-08-14,15.0
