ticker,GYST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-10-20,100.0
2011-10-24,0.0
2011-10-25,0.0
2011-10-28,28.0
2011-11-01,0.0
2011-11-04,-18.75
2011-11-07,0.0
2011-11-08,-3.8462
2011-11-09,0.0
2011-11-10,2.0
2011-11-11,0.0
2011-11-14,0.0
2011-11-15,0.0
2011-11-21,5.8824
2011-11-28,-29.6296
2011-11-29,15.7895
2011-11-30,4.5455
2011-12-01,-4.3478
2011-12-02,9.0909
2011-12-07,4.1667
2011-12-08,0.0
2011-12-12,-24.0
2011-12-14,5.2632
2011-12-15,0.0
2011-12-16,0.0
2011-12-19,0.0
2011-12-20,5.0
2011-12-21,0.0
2011-12-22,4.7619
2011-12-23,0.0
2011-12-27,-9.0909
2011-12-28,5.0
2011-12-29,4.7619
2011-12-30,4.5455
2012-01-03,0.0
2012-01-04,8.6957
2012-01-05,-8.0
2012-01-06,-4.3478
2012-01-09,27.2159
2012-01-10,0.0
2012-01-11,-1.7418
2012-01-12,5.4545
2012-01-13,-3.4483
2012-01-17,12.5
2012-01-18,-4.7619
2012-01-19,-13.3333
2012-01-20,5.7692
2012-01-23,-5.4545
2012-01-24,-23.0769
2012-01-25,0.0
2012-01-26,10.0
2012-01-27,0.0
2012-01-30,15.9091
2012-01-31,-5.8824
2012-02-01,-20.8333
2012-02-02,-7.8947
2012-02-03,-9.7143
2012-02-06,-17.7215
2012-02-07,-7.6923
2012-02-08,8.3333
2012-02-09,7.6923
2012-02-10,-7.0536
2012-02-13,-7.781
2012-02-14,-16.6667
2012-02-15,40.0
2012-02-16,0.0
2012-02-17,-0.7143
2012-02-21,0.7194
2012-02-22,-0.7143
2012-02-23,-2.8777
2012-02-24,0.0
2012-02-27,0.0
2012-02-28,-7.4074
2012-02-29,-4.0
2012-03-01,12.5
2012-03-02,0.0
2012-03-05,3.7037
2012-03-06,-14.2857
2012-03-07,-4.1667
2012-03-08,0.0
2012-03-12,-21.7391
2012-03-13,0.0
2012-03-14,25.5556
2012-03-15,-15.9292
2012-03-16,-26.1842
2012-03-19,28.3422
2012-03-20,-22.2222
2012-03-21,-51.4286
2012-03-22,-17.647100000000002
2012-03-23,-28.5714
2012-03-26,15.0
2012-03-27,-8.6957
2012-03-28,-19.0476
2012-03-29,11.7647
2012-03-30,-25.6579
2012-04-02,-11.5044
2012-04-03,11.0
2012-04-04,0.0
2012-04-05,0.0
2012-04-09,0.0
2012-04-10,-38.7387
2012-04-11,-33.8235
2012-04-12,6.6667
