ticker,CSTR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-22,6.0
2016-09-23,2.2083
2016-09-26,0.1777
2016-09-27,0.43
2016-09-28,3.9755000000000003
2016-09-29,-0.2941
2016-09-30,-0.177
2016-10-03,2.6596
2016-10-04,-0.6908
2016-10-05,2.6087
2016-10-06,1.5819
2016-10-07,-0.3893
2016-10-10,0.5025
2016-10-11,-0.0556
2016-10-12,-0.7226
2016-10-13,-0.8959
2016-10-14,0.1695
2016-10-17,-1.0152
2016-10-18,0.5698
2016-10-19,0.0
2016-10-20,0.3966
2016-10-21,-0.395
2016-10-24,0.3966
2016-10-25,0.1411
2016-10-26,-0.1409
2016-10-27,-1.8058999999999998
2016-10-28,-1.7816
2016-10-31,-0.5266
2016-11-01,-0.6471
2016-11-02,-1.2433
2016-11-03,-2.0384
2016-11-04,-1.9584000000000001
2016-11-07,0.9988
2016-11-08,-1.7305000000000001
2016-11-09,5.1572
2016-11-10,6.3397
2016-11-11,-1.5748
2016-11-14,0.5429
2016-11-15,0.0284
2016-11-16,-2.2159
2016-11-17,1.6851
2016-11-18,0.0571
2016-11-21,0.6996
2016-11-22,7.1884
2016-11-23,-3.0159
2016-11-25,2.8914
2016-11-28,2.9162
2016-11-29,-1.185
2016-11-30,0.6257
2016-12-01,3.6269
2016-12-02,-0.7
2016-12-05,0.4783
2016-12-06,-0.1253
2016-12-07,0.853
2016-12-08,-1.99
2016-12-09,0.8883
2016-12-12,1.6352
2016-12-13,0.1485
2016-12-14,-1.3841
2016-12-15,-1.2530999999999999
2016-12-16,-0.8629
2016-12-19,2.2016999999999998
2016-12-20,2.5551
2016-12-21,1.6120999999999999
2016-12-22,1.8269
2016-12-23,0.2833
2016-12-27,2.8249
2016-12-28,0.87
2016-12-29,-2.1788
2016-12-30,1.9026
2017-01-03,-5.4645
2017-01-04,-3.6609
2017-01-05,-0.45
2017-01-06,0.6027
2017-01-09,-0.1498
2017-01-10,-0.05
2017-01-11,0.2001
2017-01-12,-1.2981
2017-01-13,1.0622
2017-01-17,-2.4024
2017-01-18,-1.0769
2017-01-19,-1.5552000000000001
2017-01-20,0.0527
2017-01-23,0.5263
2017-01-24,2.4607
2017-01-25,2.1972
2017-01-26,-0.1
2017-01-27,-0.2002
2017-01-30,0.1505
2017-01-31,4.657
2017-02-01,-2.9187
2017-02-02,-2.6614
2017-02-03,1.0127
2017-02-06,-0.2506
2017-02-07,-3.7688
2017-02-08,0.8877
2017-02-09,-1.6562999999999999
