ticker,CCXI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-02-08,10.0
2012-02-09,-4.5455
2012-02-10,6.0
2012-02-13,-1.168
2012-02-14,0.0909
2012-02-15,-0.0908
2012-02-16,-2.1818
2012-02-17,-2.8810000000000002
2012-02-21,5.2632
2012-02-22,4.5455
2012-02-23,-6.0
2012-02-24,-4.7179
2012-02-27,-0.2913
2012-02-28,-0.6816
2012-02-29,0.0
2012-03-01,-0.4902
2012-03-02,1.8719000000000001
2012-03-05,2.4178
2012-03-06,-0.9443
2012-03-07,2.6692
2012-03-08,1.6713
2012-03-09,2.2831
2012-03-12,-2.9464
2012-03-13,0.092
2012-03-14,-4.5956
2012-03-15,-1.0597
2012-03-16,-0.9737
2012-03-19,-2.9499
2012-03-20,1.3171
2012-03-21,-0.2
2012-03-22,4.8096
2012-03-23,1.0516
2012-03-26,5.3926
2012-03-27,1.7056
2012-03-28,-5.3839
2012-03-29,-2.7052
2012-03-30,2.2052
2012-04-02,10.2251
2012-04-03,-2.7234
2012-04-04,-1.4873
2012-04-05,-0.9769
2012-04-09,-0.5381
2012-04-10,11.2714
2012-04-11,8.1848
2012-04-12,6.2921
2012-04-13,0.7047
2012-04-16,3.499
2012-04-17,11.2914
2012-04-18,-0.5468
2012-04-19,1.405
2012-04-20,4.1566
2012-04-23,-1.6773
2012-04-24,2.2353
2012-04-25,-8.5155
2012-04-26,4.0252
2012-04-27,0.4837
2012-04-30,3.4898
2012-05-01,-7.5581
2012-05-02,-3.7107
2012-05-03,-18.0274
2012-05-04,-7.7291
2012-05-07,1.0363
2012-05-08,-6.8376
2012-05-09,-1.0092
2012-05-10,2.7804
2012-05-11,1.4426999999999999
2012-05-14,3.2889
2012-05-15,2.4957
2012-05-16,4.7019
2012-05-17,0.6415
2012-05-18,-3.8247
2012-05-21,3.5625999999999998
2012-05-22,-3.76
2012-05-23,0.0
2012-05-24,-0.2494
2012-05-25,-0.8333
2012-05-29,1.7647
2012-05-30,0.7432
2012-05-31,14.918
2012-06-01,-7.632
2012-06-04,-3.0888
2012-06-05,0.5578
2012-06-06,1.5055
2012-06-07,-4.5277
2012-06-08,1.3083
2012-06-11,1.937
2012-06-12,-1.1876
2012-06-13,-5.5288
2012-06-14,4.5802
2012-06-15,-1.7843
2012-06-18,2.3947
2012-06-19,2.4194
2012-06-20,4.0157
2012-06-21,-2.4224
2012-06-22,11.8697
2012-06-25,-3.3287
2012-06-26,0.2869
2012-06-27,-2.2175
2012-06-28,0.4389
