ticker,SIEN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-29,11.6667
2014-10-30,5.6119
2014-10-31,0.6218
2014-11-03,-1.6854
2014-11-04,3.0857
2014-11-05,-0.388
2014-11-06,1.8364
2014-11-07,-1.6393
2014-11-10,0.0
2014-11-11,-1.6111
2014-11-12,-1.1858
2014-11-13,-1.3714
2014-11-14,-1.5064
2014-11-17,2.1765
2014-11-18,-0.3454
2014-11-19,-1.6753
2014-11-20,1.8801
2014-11-21,1.7301
2014-11-24,-1.7574
2014-11-25,1.6734
2014-11-26,0.454
2014-11-28,-1.8643999999999998
2014-12-01,0.2879
2014-12-02,-0.1722
2014-12-03,1.7826
2014-12-04,-0.8475
2014-12-05,-1.0256
2014-12-08,-4.5193
2014-12-09,-0.4522
2014-12-10,-2.3016
2014-12-11,-0.372
2014-12-12,-4.2315
2014-12-15,0.2599
2014-12-16,-0.9073
2014-12-17,1.7659
2014-12-18,6.5553
2014-12-19,4.1013
2014-12-22,-1.2167
2014-12-23,-3.6364
2014-12-24,-1.4607
2014-12-26,0.8647
2014-12-29,0.7961
2014-12-30,1.8834
2014-12-31,0.1193
2015-01-02,-1.5485
2015-01-05,-4.7792
2015-01-06,-5.0826
2015-01-07,4.8862
2015-01-08,3.7013
2015-01-09,-1.4769
2015-01-12,-2.6234
2015-01-13,2.3733
2015-01-14,-1.1278
2015-01-15,2.725
2015-01-16,1.3572
2015-01-20,-3.1649
2015-01-21,-1.7599
2015-01-22,0.128
2015-01-23,-0.639
2015-01-26,-0.3215
2015-01-27,0.9677
2015-01-28,-2.1086
2015-01-29,-0.4569
2015-01-30,-1.377
2015-02-02,2.6596
2015-02-03,-0.842
2015-02-04,0.0
2015-02-05,-0.8491
2015-02-06,-0.9223
2015-02-09,0.1995
2015-02-10,0.7963
2015-02-11,3.95
2015-02-12,-1.7099
2015-02-13,2.4485
2015-02-17,-3.0189
2015-02-18,6.7445
2015-02-19,4.921
2015-02-20,1.6792
2015-02-23,-0.3417
2015-02-24,3.7714
2015-02-25,-1.3216
2015-02-26,0.5022
2015-02-27,2.0544
2015-03-02,0.8705
2015-03-03,-0.1079
2015-03-04,2.5378
2015-03-05,2.2117
2015-03-06,1.7517
2015-03-09,-0.2532
2015-03-10,-1.4213
2015-03-11,-2.9866
2015-03-12,-0.3185
2015-03-13,-0.213
2015-03-16,0.8538
2015-03-17,-0.1058
2015-03-18,0.8475
2015-03-19,1.0504
2015-03-20,1.2474
2015-03-23,-1.232
