ticker,CGLD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-10-19,0.0
2012-11-08,-30.9091
2013-01-14,0.0
2013-01-15,-32.8947
2013-01-16,-11.7647
2013-01-17,-4.4444
2013-01-18,2.3256
2013-01-24,-4.5455
2013-01-25,0.0
2013-01-28,-3.5714
2013-01-29,8.642
2013-01-30,-9.0909
2013-01-31,5.0
2013-02-01,-15.4762
2013-02-04,-12.6761
2013-02-05,-16.129
2013-02-06,1.9231
2013-02-07,-11.3208
2013-02-08,10.6383
2013-02-11,-3.8462
2013-02-12,0.0
2013-02-13,0.0
2013-02-14,12.0
2013-02-15,-10.7143
2013-02-19,-31.6
2013-02-20,22.807
2013-02-21,4.7619
2013-02-22,0.0
2013-02-25,0.0
2013-02-26,22.7273
2013-02-28,-29.6296
2013-03-01,2.6316
2013-03-04,7.6923
2013-03-05,-18.9881
2013-03-06,-22.41
2013-03-07,-2.2727
2013-03-08,-37.8876
2013-03-11,-25.117
2013-03-12,0.0
2013-03-13,-3.3333
2013-03-14,-1.9397
2013-03-15,-12.967
2013-03-18,-13.1313
2013-03-19,2.3256
2013-03-20,-15.9091
2013-03-21,-10.8108
2013-03-22,9.0909
2013-03-25,-4.1667
2013-03-26,-2.5362
2013-03-27,9.6654
2013-03-28,3.0508
2013-04-01,-9.2105
2013-04-02,0.0
2013-04-03,0.0
2013-04-04,1.4493
2013-04-05,5.3571
2013-04-08,10.8475
2013-04-09,-31.4985
2013-04-10,-7.1429
2013-04-11,-8.413499999999999
2013-04-12,4.9869
2013-04-15,-8.0
2013-04-16,0.5435
2013-04-17,-0.5405
2013-04-18,5.9783
2013-04-19,-7.6923
2013-04-22,-8.3333
2013-04-23,-2.4242
2013-04-24,0.0
2013-04-25,0.0
2013-04-26,4.3478
2013-04-29,0.0
2013-04-30,0.0
2013-05-01,-1.7856999999999998
2013-05-02,-7.2727
2013-05-03,-8.4967
2013-05-06,2.8571
2013-05-07,-5.5556
2013-05-08,-4.7794
2013-05-09,18.1467
2013-05-10,7.1895
2013-05-13,-6.7073
2013-05-14,4.5752
2013-05-15,-9.375
2013-05-16,4.1379
2013-05-17,-3.9735
2013-05-20,-24.8276
2013-05-21,28.4404
2013-05-23,-13.5714
2013-05-24,5.7851
2013-05-28,6.25
2013-05-29,2.2059
2013-05-30,-11.8705
2013-05-31,0.0
2013-06-03,9.7959
2013-06-04,1.8587
2013-06-05,-12.4088
2013-06-06,-20.0
2013-06-07,23.9583
2013-06-10,-22.6891
