ticker,DOW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-03-21,-1.6465999999999998
2019-03-22,-0.7758
2019-03-25,1.1317
2019-03-26,-0.6104
2019-03-27,2.5589
2019-03-28,1.4969999999999999
2019-03-29,1.5339
2019-04-01,3.6219
2019-04-02,5.1402
2019-04-03,1.12
2019-04-04,4.9754000000000005
2019-04-05,-4.1367
2019-04-08,-0.1572
2019-04-09,-1.5398
2019-04-10,-0.9952
2019-04-11,-1.4719
2019-04-12,6.2124
2019-04-15,-0.8919
2019-04-16,1.2461
2019-04-17,-0.3077
2019-04-18,-0.9431
2019-04-22,0.2077
2019-04-23,-0.4319
2019-04-24,-2.8799
2019-04-25,-1.1611
2019-04-26,-0.1446
2019-04-29,0.4525
2019-04-30,2.2162
2019-05-01,-1.0576
2019-05-02,-6.1108
2019-05-03,1.1385
2019-05-06,0.3002
2019-05-07,-0.954
2019-05-08,-0.8876
2019-05-09,0.8575
2019-05-10,0.2645
2019-05-13,-3.9947
2019-05-14,3.0029
2019-05-15,0.8956
2019-05-16,0.0567
2019-05-17,-4.1148
2019-05-20,-1.4173
2019-05-21,1.0982
2019-05-22,-0.8295
2019-05-23,-2.9875
2019-05-24,1.006
2019-05-28,-1.3008
2019-05-29,0.3089
2019-05-30,0.9444
2019-05-31,-3.528
2019-06-03,2.5663
2019-06-04,4.1076
2019-06-05,0.8211
2019-06-06,1.4303
2019-06-07,0.47
2019-06-10,0.6238
2019-06-11,0.8136
2019-06-12,0.8647
2019-06-13,0.743
2019-06-14,-3.2716
2019-06-17,-3.5191
2019-06-18,0.5268
2019-06-19,-2.2375
2019-06-20,0.8866
2019-06-21,-1.1649
2019-06-24,2.5227
2019-06-25,0.2219
2019-06-26,1.5295
2019-06-27,0.9118
2019-06-28,-3.1428
2019-07-01,1.7238
2019-07-02,-1.5152
2019-07-03,-0.1417
2019-07-05,-0.0405
2019-07-08,-1.6021
2019-07-09,-1.3397000000000001
2019-07-10,-0.6685
2019-07-11,0.4837
2019-07-12,4.0393
2019-07-15,2.4542
2019-07-16,2.7292
2019-07-17,-1.3761
2019-07-18,0.2907
2019-07-19,-0.4444
2019-07-22,-1.2422
2019-07-23,3.4198
2019-07-24,0.3231
2019-07-25,-3.8265000000000002
2019-07-26,-3.2696
2019-07-29,-2.1584
2019-07-30,0.7284
2019-07-31,0.0826
2019-08-01,-3.2824
2019-08-02,-2.6681
2019-08-05,-1.8202
2019-08-06,-0.7594
2019-08-07,1.0352999999999999
