ticker,TATD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-06-02,-12.5
2005-06-03,5.7143
2005-06-06,2.7027
2005-06-07,-7.8947
2005-06-09,5.7143
2005-06-10,5.4054
2005-06-13,-5.1282
2005-06-14,-8.1081
2005-06-15,2.9412000000000003
2005-06-16,-2.8571
2005-06-17,0.0
2005-06-20,0.0
2005-06-21,0.0
2005-06-22,0.0
2005-06-23,0.0
2005-06-24,2.9412000000000003
2005-06-27,5.7143
2005-06-28,-2.7027
2005-06-30,-2.7778
2005-07-01,5.7143
2005-07-05,0.0
2005-07-07,2.7027
2005-07-11,0.5263
2005-07-12,-8.377
2005-07-14,8.5714
2005-07-15,-2.6316
2005-07-18,-2.7027
2005-07-20,2.7778
2005-07-25,-8.1081
2005-07-28,-2.3529
2005-08-02,-0.6024
2005-08-04,-3.0303
2005-08-05,3.125
2005-08-08,0.0
2005-08-09,-3.0303
2005-08-10,6.25
2005-08-11,8.8235
2005-08-12,0.0
2005-08-15,2.7027
2005-08-16,-2.6316
2005-08-17,-1.0811
2005-08-22,-4.3716
2005-08-23,0.0
2005-08-24,0.0
2005-08-25,-0.5714
2005-08-30,-0.5747
2005-08-31,2.3121
2005-09-01,7.3446
2005-09-06,-0.5263
2005-09-07,0.0
2005-09-13,-2.1164
2005-09-14,-2.7027
2005-09-15,0.0
2005-09-16,0.0
2005-09-19,0.0
2005-09-20,2.2222
2005-09-21,0.5435
2005-09-22,-2.7027
2005-09-23,1.1111
2005-09-26,1.6484
2005-09-27,0.0
2005-09-28,-5.4054
2005-09-29,5.7143
2005-10-04,0.0
2005-10-05,0.0
2005-10-06,-2.7027
2005-10-07,4.4444
2005-10-10,-1.5957
2005-10-11,0.0
2005-10-13,-1.6216
2005-10-17,-1.0989
2005-10-18,-1.6667
2005-10-20,4.5198
2005-10-21,0.0
2005-10-24,0.0
2005-10-25,-2.7027
2005-10-26,0.0
2005-10-27,2.7778
2005-10-28,-10.8108
2005-10-31,12.1212
2005-11-01,0.0
2005-11-02,-2.7027
2005-11-03,2.7778
2005-11-04,-8.1081
2005-11-07,2.9412000000000003
2005-11-08,0.0
2005-11-09,5.7143
2005-11-14,0.0
2005-11-16,-0.5405
2005-11-18,-4.8913
2005-11-21,8.5714
2005-11-22,-2.1053
2005-11-23,0.2688
2005-11-25,-0.2681
2005-11-30,2.1505
2005-12-01,-2.6316
2005-12-02,0.0
2005-12-05,2.7027
2005-12-06,-2.6316
2005-12-09,0.0
2005-12-12,-1.0811
