ticker,BXG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-17,-7.1429
2017-11-20,2.2308
2017-11-21,4.2137
2017-11-22,2.6715
2017-11-24,0.211
2017-11-27,1.6139999999999999
2017-11-28,2.0718
2017-11-29,1.1502
2017-11-30,10.5686
2017-12-01,0.3025
2017-12-04,-1.5682
2017-12-05,-1.8382
2017-12-06,1.6854
2017-12-07,-0.9208
2017-12-08,-1.5489000000000002
2017-12-11,1.3845
2017-12-12,0.6207
2017-12-13,-0.2468
2017-12-14,-0.9895
2017-12-15,-0.6871
2017-12-18,0.6918
2017-12-19,-2.3111
2017-12-20,2.6854
2017-12-21,1.2453
2017-12-22,0.123
2017-12-26,6.8796
2017-12-27,-1.6667
2017-12-28,3.5652
2017-12-29,3.0474
2018-01-02,-2.4644
2018-01-03,1.0668
2018-01-04,4.0556
2018-01-05,-3.3636
2018-01-08,0.5525
2018-01-09,-1.2088
2018-01-10,0.2781
2018-01-11,-0.9429
2018-01-12,1.0638
2018-01-16,-0.7263
2018-01-17,1.2943
2018-01-18,0.6667
2018-01-19,5.4084
2018-01-22,2.9318999999999997
2018-01-23,-1.8311
2018-01-24,0.9326
2018-01-25,0.77
2018-01-26,-0.8151
2018-01-29,-1.2327
2018-01-30,-1.144
2018-01-31,-0.1052
2018-02-01,-4.5814
2018-02-02,-1.2141
2018-02-05,-3.5754
2018-02-06,0.927
2018-02-07,0.3444
2018-02-08,-1.4302000000000001
2018-02-09,-0.7545
2018-02-12,3.3918
2018-02-13,1.5271
2018-02-14,-2.8969
2018-02-15,6.1388
2018-02-16,0.3784
2018-02-20,3.0695
2018-02-21,-2.0376
2018-02-22,-2.6132999999999997
2018-02-23,6.1884
2018-02-26,-1.444
2018-02-27,0.3663
2018-02-28,0.8342
2018-03-01,2.999
2018-03-02,-3.3635
2018-03-05,-3.8442
2018-03-06,3.9438
2018-03-07,2.4428
2018-03-08,0.0507
2018-03-09,1.4199
2018-03-12,1.7
2018-03-13,-1.1799
2018-03-14,0.4478
2018-03-15,1.7335
2018-03-16,3.0185
2018-03-19,3.7807
2018-03-20,0.9107
2018-03-21,-1.8502
2018-03-22,-1.5171999999999999
2018-03-23,-0.3268
2018-03-26,2.2014
2018-03-27,-2.0623
2018-03-28,0.3744
2018-03-29,-1.3054000000000001
2018-04-02,-0.0472
2018-04-03,1.3705
2018-04-04,0.8858
2018-04-05,1.2015
2018-04-06,0.3653
2018-04-09,0.364
2018-04-10,0.9973
2018-04-11,-1.2118
