ticker,ET US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-02-03,7.8571
2006-02-06,0.4857
2006-02-07,-1.4060000000000001
2006-02-08,-2.4064
2006-02-09,0.2283
2006-02-10,0.4556
2006-02-13,-1.3605
2006-02-14,-0.4598
2006-02-15,0.9238
2006-02-16,0.2746
2006-02-17,-0.2282
2006-02-21,0.1372
2006-02-22,0.0457
2006-02-23,0.2283
2006-02-24,0.4556
2006-02-27,-0.0454
2006-02-28,-0.2269
2006-03-01,-0.5457
2006-03-02,0.3658
2006-03-03,0.1367
2006-03-06,-0.8644
2006-03-07,-0.872
2006-03-08,1.0185
2006-03-09,1.5124
2006-03-10,1.9865
2006-03-13,1.0624
2006-03-14,0.0438
2006-03-15,-0.5692
2006-03-16,1.6733
2006-03-17,0.1299
2006-03-20,0.0433
2006-03-21,0.4756
2006-03-22,0.6024
2006-03-23,0.941
2006-03-24,0.0
2006-03-27,2.9661
2006-03-28,-0.7407
2006-03-29,-0.6725
2006-03-30,-1.6736
2006-03-31,1.9149
2006-04-03,-1.2526
2006-04-04,-1.1839
2006-04-05,0.3851
2006-04-06,0.1279
2006-04-07,-0.298
2006-04-10,2.263
2006-04-11,1.0438
2006-04-12,-1.0331
2006-04-13,0.0418
2006-04-17,-0.2087
2006-04-18,2.8858
2006-04-19,0.813
2006-04-20,1.0081
2006-04-21,1.5968
2006-04-24,-0.5894
2006-04-25,-0.5138
2006-04-26,-1.3508
2006-04-27,0.2416
2006-04-28,0.0402
2006-05-01,-0.4016
2006-05-02,0.6048
2006-05-03,-0.2004
2006-05-04,0.3213
2006-05-05,3.6429
2006-05-08,3.708
2006-05-09,1.6015000000000001
2006-05-10,0.3299
2006-05-11,-0.8038
2006-05-12,-0.6262
2006-05-15,-1.9644
2006-05-16,1.7013
2006-05-17,-0.4461
2006-05-18,0.0
2006-05-19,0.0747
2006-05-22,0.3358
2006-05-23,-0.1488
2006-05-24,-1.3035
2006-05-25,0.6415
2006-05-26,0.1125
2006-05-30,-0.7491
2006-05-31,0.7547
2006-06-01,-1.1985000000000001
2006-06-02,0.4549
2006-06-05,-0.7547
2006-06-06,1.2548
2006-06-07,-0.6759
2006-06-08,-1.7013
2006-06-09,1.9231
2006-06-12,0.3774
2006-06-13,-1.6541000000000001
2006-06-14,0.4205
2006-06-15,0.7994
2006-06-16,-0.3776
2006-06-19,-1.63
2006-06-20,-0.4624
2006-06-21,-0.9292
2006-06-22,-0.508
2006-06-23,0.7463
2006-06-26,0.0
