ticker,MRBK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-07,7.3529
2017-11-08,-1.9178
2017-11-09,0.838
2017-11-10,1.108
2017-11-13,0.3836
2017-11-14,-0.9825
2017-11-15,0.882
2017-11-16,-0.2732
2017-11-17,-0.5479
2017-11-20,-0.3857
2017-11-21,0.9956
2017-11-22,-0.0548
2017-11-24,-1.4795
2017-11-27,-0.4449
2017-11-28,0.3911
2017-11-29,-2.1703
2017-11-30,4.6075
2017-12-01,-0.2175
2017-12-04,-1.7439
2017-12-05,-1.553
2017-12-06,-0.5634
2017-12-07,0.5666
2017-12-08,1.4085
2017-12-11,6.6111
2017-12-12,9.3278
2017-12-13,-0.0477
2017-12-14,-2.2413
2017-12-15,-3.9512
2017-12-18,2.1330999999999998
2017-12-19,2.1382
2017-12-20,-1.1685
2017-12-21,0.8867
2017-12-22,-1.8555000000000001
2017-12-26,-2.8994999999999997
2017-12-27,-0.6517
2017-12-28,-1.7019
2017-12-29,4.8269
2018-01-02,-4.5546
2018-01-03,6.8694
2018-01-04,-3.9032999999999998
2018-01-05,4.3683
2018-01-08,-2.1526
2018-01-09,-2.7
2018-01-10,0.1028
2018-01-11,1.8994
2018-01-16,0.7557
2018-01-18,0.5
2018-01-19,-0.4975
2018-01-22,-2.4355
2018-01-23,-1.1423
2018-01-24,0.985
2018-01-25,-1.1294
2018-01-26,-0.3115
2018-01-29,-7.8125
2018-01-30,3.9531
2018-01-31,-0.8685
2018-02-01,0.494
2018-02-02,-0.9427
2018-02-05,-1.3631
2018-02-06,0.5042
2018-02-08,-1.3889
2018-02-09,1.5211000000000001
2018-02-12,-1.7203
2018-02-13,1.6375
2018-02-14,1.3889
2018-02-15,-1.3699
2018-02-20,-0.1111
2018-02-21,0.1112
2018-02-22,-0.0556
2018-02-23,-1.3341
2018-02-26,-1.4085
2018-02-27,2.2857
2018-02-28,2.7374
2018-03-01,0.0544
2018-03-02,-4.5652
2018-03-05,-0.6834
2018-03-06,-1.7774999999999999
2018-03-07,-0.1168
2018-03-08,1.9870999999999999
2018-03-09,0.2292
2018-03-12,-0.2287
2018-03-13,-0.8883
2018-03-14,0.6649
2018-03-15,2.1252
2018-03-16,-1.1811
2018-03-19,-1.2521
2018-03-20,2.5937
2018-03-21,-1.8538999999999999
2018-03-22,0.1717
2018-03-23,3.0286
2018-03-26,0.1109
2018-03-27,0.277
2018-03-28,-2.6122
2018-04-02,-0.7216
2018-04-03,-2.0571
2018-04-04,0.3501
2018-04-05,4.593
