ticker,FRAN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-07-22,62.6471
2011-07-25,2.387
2011-07-26,-1.5542
2011-07-27,-5.0592
2011-07-28,-2.4943
2011-07-29,1.7829000000000002
2011-08-01,-0.7235
2011-08-02,-2.8002000000000002
2011-08-03,0.1184
2011-08-04,-2.1679
2011-08-05,4.5527999999999995
2011-08-08,-5.5877
2011-08-09,6.1633
2011-08-10,-0.1153
2011-08-11,-3.1178
2011-08-12,1.3111
2011-08-15,2.3529
2011-08-16,-0.728
2011-08-17,0.0772
2011-08-18,-12.7651
2011-08-19,-11.6269
2011-08-22,5.5028
2011-08-23,9.7202
2011-08-24,3.7165
2011-08-25,-0.2917
2011-08-26,2.8416
2011-08-29,5.8919
2011-08-30,-2.6094
2011-08-31,-9.6533
2011-09-01,-1.0467
2011-09-02,-1.8951
2011-09-06,-5.5705
2011-09-07,-5.2331
2011-09-08,-0.0502
2011-09-09,-1.5068000000000001
2011-09-12,0.7649
2011-09-13,0.4808
2011-09-14,-0.5288
2011-09-15,1.0127
2011-09-16,-1.0526
2011-09-19,1.0638
2011-09-20,0.1003
2011-09-21,0.1502
2011-09-22,-3.35
2011-09-23,1.0347
2011-09-26,8.0389
2011-09-27,4.1706
2011-09-28,-1.9108
2011-09-29,2.2727
2011-09-30,-3.8095
2011-10-03,-6.5064
2011-10-04,2.3197
2011-10-05,2.07
2011-10-06,-1.7383
2011-10-07,-3.9312
2011-10-10,1.3811
2011-10-11,-0.4541
2011-10-12,6.2848
2011-10-13,3.7673
2011-10-14,6.0202
2011-10-17,-4.1179
2011-10-18,0.5425
2011-10-19,-1.3939
2011-10-20,0.7296
2011-10-21,4.3006
2011-10-24,5.7292
2011-10-25,0.0411
2011-10-26,-0.7386
2011-10-27,5.3328
2011-10-28,2.8257
2011-10-31,-2.0229
2011-11-01,-5.5317
2011-11-02,2.1856
2011-11-03,7.2639
2011-11-04,-4.7404
2011-11-07,-2.6066000000000003
2011-11-08,-1.3788
2011-11-09,-10.6086
2011-11-10,-2.1619
2011-11-11,0.6582
2011-11-14,-0.9341
2011-11-15,0.3772
2011-11-16,-7.4213000000000005
2011-11-17,1.1669
2011-11-18,-0.6018
2011-11-21,0.8577
2011-11-22,-1.6008
2011-11-23,-1.1693
2011-11-25,-2.2634
2011-11-28,-5.8421
2011-11-29,-5.1425
2011-11-30,-2.7696
2011-12-01,-6.9091000000000005
2011-12-02,4.1667
2011-12-05,9.75
2011-12-06,-4.7267
2011-12-07,16.5571
