ticker,MTLQU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-06-15,-16.6667
2012-06-18,2.3810000000000002
2012-06-19,14.4186
2012-06-20,0.0
2012-06-21,2.0325
2012-06-22,-1.2749
2012-06-25,-1.5335
2012-06-26,-1.1475
2012-06-27,1.5755
2012-06-28,-0.0816
2012-06-29,0.0817
2012-07-02,1.2245
2012-07-03,0.4032
2012-07-05,-1.3655
2012-07-06,-1.0586
2012-07-09,0.823
2012-07-10,0.0816
2012-07-11,-0.9788
2012-07-12,0.2471
2012-07-13,0.6574
2012-07-16,0.8163
2012-07-17,0.4858
2012-07-18,1.1280999999999999
2012-07-19,-0.3187
2012-07-20,-0.1599
2012-07-23,1.4412
2012-07-24,-0.9471
2012-07-25,6.7729
2012-07-26,1.9403000000000001
2012-07-27,-0.366
2012-07-30,4.335
2012-07-31,-0.4225
2012-08-01,-1.6973
2012-08-02,-2.1583
2012-08-03,4.7794
2012-08-06,-2.6667
2012-08-07,0.5047
2012-08-08,1.5065
2012-08-09,1.2014
2012-08-10,-0.1397
2012-08-13,-0.7692
2012-08-14,0.7752
2012-08-15,-0.3497
2012-08-16,5.193
2012-08-17,4.7365
2012-08-20,-4.1401
2012-08-21,-0.3322
2012-08-22,-0.6667
2012-08-23,-2.349
2012-08-24,-2.7491
2012-08-27,-0.1413
2012-08-28,0.8493
2012-08-29,0.0702
2012-08-30,0.6311
2012-08-31,-0.2091
2012-09-04,1.3268
2012-09-05,0.5513
2012-09-06,2.7416
2012-09-07,2.7352
2012-09-10,0.0
2012-09-11,2.3377
2012-09-12,-0.3807
2012-09-13,1.2739
2012-09-14,0.6289
2012-09-17,0.25
2012-09-18,1.1222
2012-09-19,1.7263
2012-09-20,-0.2424
2012-09-21,1.5796000000000001
2012-09-24,0.7775
2012-09-25,-1.4837
2012-09-26,-1.0843
2012-09-27,0.1827
2012-09-28,2.1277
2012-10-01,1.4881
2012-10-02,3.8123
2012-10-03,2.4294000000000002
2012-10-04,-0.3861
2012-10-05,3.5437
2012-10-08,-2.0321
2012-10-09,0.8188
2012-10-10,0.1624
2012-10-11,1.3514
2012-10-12,0.5333
2012-10-15,0.9019
2012-10-16,0.9989
2012-10-17,0.2082
2012-10-18,0.7792
2012-10-19,-1.2887
2012-10-22,-0.7311
2012-10-23,-2.4198
2012-10-24,0.7008
2012-10-25,0.3212
2012-10-26,0.1601
2012-10-31,6.2866
2012-11-01,0.5013
2012-11-02,-1.4464000000000001
2012-11-05,-0.2024
