ticker,BURCA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,1.4184
2000-01-06,0.6993
2000-01-14,-2.0833
2000-01-18,4.9645
2000-01-20,-0.6757
2000-01-25,-2.0408
2000-01-26,-0.6944
2000-01-27,0.0
2000-01-31,2.0979
2000-02-01,2.7397
2000-02-07,0.0
2000-02-08,4.0
2000-02-16,-1.3243
2000-02-18,6.5789
2000-02-22,1.2346
2000-03-02,-6.0976
2000-03-09,6.4935
2000-03-10,-0.6098
2000-03-22,-3.681
2000-03-27,-2.2293
2000-03-28,6.1889
2000-04-10,-5.2147
2000-04-12,-0.9709
2000-04-17,2.6144
2000-04-18,3.8217
2000-04-19,-6.135
2000-04-20,6.5359
2000-04-27,-5.5215
2000-05-02,3.5714
2000-05-05,-4.7022
2000-05-16,9.3042
2000-05-25,-7.3171
2000-06-01,6.8947
2000-06-02,-6.45
2000-06-12,3.2895
2000-06-13,-0.6369
2000-06-15,0.641
2000-06-19,-5.7325
2000-06-20,4.0541
2000-06-22,0.6494
2000-06-26,-4.5161
2000-06-27,2.7027
2000-06-30,2.6316
2000-07-07,-7.6923
2000-07-11,5.5556
2000-07-13,-1.3158
2000-07-14,0.0
2000-07-17,-3.3333
2000-07-18,0.0
2000-07-24,7.5862
2000-07-31,-3.2051
2000-08-04,0.6623
2000-08-07,-1.3158
2000-08-10,2.64
2000-08-14,-0.6579
2000-08-24,0.6623
2000-08-28,-1.9737
2000-08-29,2.0134
2000-08-31,-1.3158
2000-09-13,1.3333
2000-09-19,-0.6579
2000-09-25,1.3245
2000-11-09,-5.8824
2000-11-13,1.3611
2000-11-15,0.6944
2000-11-16,0.6897
2000-11-22,0.0
2000-11-30,-4.1096
2000-12-04,0.0
2000-12-12,0.0
2000-12-13,2.5
2000-12-18,2.439
2000-12-20,-3.4013999999999998
2000-12-28,1.4085
2001-01-02,2.7778
2001-01-04,2.7027
2001-01-10,-6.5789
2001-01-11,0.0
2001-01-16,-1.4085
2001-01-22,0.0
2001-01-25,5.7143
2001-01-26,-2.7027
2001-02-05,-4.1667
2001-02-07,-3.2609
2001-02-08,1.8727
2001-02-13,1.5
2001-02-14,3.6765
2001-02-16,0.0
2001-02-23,-0.7092
2001-03-01,0.0
2001-03-05,-2.8571
2001-03-06,5.8824
2001-03-07,0.0
2001-03-08,-2.7778
2001-03-09,5.3571
2001-03-12,-1.0169
2001-03-13,-4.1096
2001-03-14,0.0
2001-03-15,2.8571
2001-03-22,4.1667
2001-03-23,-2.0
