ticker,ASRE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-08-16,660.0
2005-08-17,-21.0526
2005-08-18,0.0
2005-08-19,-6.6667
2005-08-25,-3.5714
2005-08-30,11.1111
2005-09-01,3.3333
2005-09-09,-3.2258
2005-09-13,0.0
2005-09-14,5.3333
2005-09-16,13.9241
2005-09-19,-8.3333
2005-09-20,6.0606
2005-09-21,-2.8571
2005-09-22,-11.7647
2005-09-27,16.6667
2005-09-30,-2.8571
2005-10-06,-5.8824
2005-10-10,9.375
2005-10-11,-2.8571
2005-10-12,2.9412000000000003
2005-10-14,-14.2857
2005-10-18,0.0
2005-10-19,0.0
2005-10-27,3.3333
2005-10-28,12.9032
2005-10-31,-13.1429
2005-11-01,15.1316
2005-11-02,0.0
2005-11-03,0.0
2005-11-04,0.0
2005-11-07,-2.8571
2005-11-08,0.0
2005-11-09,-5.8824
2005-11-10,0.0
2005-11-11,0.0
2005-11-14,0.0
2005-11-15,-3.125
2005-11-17,0.0
2005-11-18,-3.2258
2005-11-23,3.3333
2005-11-25,-3.2258
2005-11-28,20.0
2005-11-29,-8.3333
2005-12-01,-0.9091
2005-12-07,-8.2569
2005-12-08,-3.3333
2005-12-16,-3.4483
2005-12-27,0.0
2006-01-03,-3.5714
2006-01-04,-11.1111
2006-01-05,0.0
2006-01-06,24.1667
2006-01-10,-12.7517
2006-01-11,7.6923
2006-01-13,0.0
2006-01-17,-7.1429
2006-01-19,0.0
2006-02-01,2.3077
2006-02-03,-2.2556
2006-02-06,0.0
2006-02-07,-3.8462
2006-02-09,-12.0
2006-02-15,18.1818
2006-02-22,-7.6923
2006-02-23,16.6667
2006-02-28,-14.2857
2006-03-01,0.0
2006-03-02,4.1667
2006-03-03,0.0
2006-03-10,-19.2
2006-03-13,18.8119
2006-03-14,-16.6667
2006-03-15,1.0
2006-03-21,0.0
2006-03-23,-20.7921
2006-03-24,0.0
2006-03-29,25.0
2006-04-04,20.0
2006-04-05,-4.1667
2006-04-06,0.8696
2006-04-10,-5.1724
2006-04-24,4.5455
2006-04-25,26.087
2006-05-04,0.0
2006-05-08,0.0
2006-05-15,-3.4483
2006-05-31,0.0
2006-06-12,-3.5714
2006-06-14,0.0
2006-06-22,0.0
2006-07-06,3.7037
2006-07-11,0.0
2006-07-12,0.0
2006-07-14,-14.2857
2006-07-26,20.8333
2006-07-31,6.8966
2006-08-02,6.4516
2006-08-09,-9.0909
2006-08-15,10.0
2006-08-16,0.0
2006-08-17,3.0303
2006-08-18,0.0
