ticker,PMBY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-25.0
2000-01-04,16.6667
2000-01-13,-14.2857
2000-01-24,-50.0
2000-01-26,100.0
2000-03-03,-14.6667
2000-03-13,-37.5
2000-03-14,-68.75
2000-03-21,-4.0
2000-03-24,4.1667
2000-04-11,300.0
2000-05-01,-60.0
2000-06-05,-37.5
2000-06-26,60.0
2000-07-11,-80.0
2000-09-25,300.0
2000-10-17,-50.0
2000-10-25,0.0
2000-11-17,400.0
2000-12-26,-80.0
2000-12-27,-25.0
2001-01-31,366.6667
2001-02-14,-28.5714
2001-04-20,300.0
2001-04-23,140.0
2001-04-24,-16.6667
2001-05-03,0.0
2001-05-07,0.0
2001-05-14,0.0
2001-05-16,0.0
2001-06-19,0.0
2001-06-20,0.0
2001-06-22,-12.5
2001-06-25,0.0
2001-06-26,0.0
2001-07-10,-71.4286
2001-07-13,0.0
2001-07-16,0.0
2001-07-18,-30.0
2001-09-05,-28.5714
2001-09-28,0.0
2001-10-02,0.0
2001-10-05,0.0
2001-10-09,0.0
2001-10-10,0.0
2001-10-30,0.0
2001-11-05,0.0
2001-11-08,0.0
2001-11-09,-40.0
2001-11-13,0.0
2001-11-15,66.6667
2001-11-26,60.0
2001-11-27,87.5
2001-12-03,120.0
2001-12-04,6.0606
2001-12-05,0.0
2001-12-06,-14.2857
2001-12-07,0.0
2001-12-17,-16.6667
2001-12-18,0.0
2001-12-27,0.0
2002-01-02,0.0
2002-01-07,0.0
2002-01-11,0.0
2002-01-15,-60.0
2002-02-07,-50.0
2002-03-14,0.0
2002-06-07,20.0
2002-06-10,-16.6667
2002-07-31,0.0
2002-08-12,-20.0
2002-09-20,50.0
2002-09-23,0.0
2002-10-01,-16.6667
2002-10-10,0.0
2002-10-23,-20.0
2002-11-07,50.0
2002-11-08,16.6667
2002-11-11,14.2857
2002-12-30,50.0
2003-01-02,8.3333
2003-01-13,-46.1538
2003-01-22,-42.8571
2003-01-31,100.0
2003-03-19,150.0
2003-05-01,0.0
2003-05-12,-60.0
2003-07-30,-50.0
2003-10-14,0.0
2003-10-22,0.0
2003-12-23,50.0
2003-12-29,0.0
2004-01-26,16.6667
2004-04-15,0.0
2004-09-24,0.0
2004-10-01,0.0
2004-12-28,0.0
2004-12-29,-14.2857
2004-12-30,0.0
2004-12-31,33.3333
2005-01-14,-25.0
2005-01-31,-16.6667
2005-03-16,0.0
2005-03-29,20.0
2005-05-12,0.0
2005-06-13,-16.6667
2005-08-11,120.0
