ticker,LFUS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.9659
2000-01-04,-2.1684
2000-01-05,-5.3455
2000-01-06,-2.7548
2000-01-07,4.8159
2000-01-10,8.1081
2000-01-11,2.5
2000-01-12,-5.8537
2000-01-13,3.1088
2000-01-14,1.7588
2000-01-18,0.7407
2000-01-19,2.9412000000000003
2000-01-20,1.9048
2000-01-21,-1.8692
2000-01-24,-0.1786
2000-01-25,-1.2522
2000-01-26,0.4831
2000-01-27,-1.9231
2000-01-28,1.4706000000000001
2000-01-31,-3.1401
2000-02-01,-0.2494
2000-02-02,-0.5
2000-02-03,2.2613
2000-02-04,0.4914
2000-02-07,1.7115
2000-02-08,0.0601
2000-02-09,0.6607
2000-02-10,1.1933
2000-02-11,-0.2358
2000-02-14,6.6194
2000-02-15,0.6652
2000-02-16,-3.0837
2000-02-17,3.4091
2000-02-18,-3.7363
2000-02-22,-1.3699
2000-02-23,2.5463
2000-02-24,3.386
2000-02-25,0.0
2000-02-28,2.6201
2000-02-29,1.7021
2000-03-01,10.0418
2000-03-02,-1.9011
2000-03-03,8.5271
2000-03-06,-2.8571
2000-03-07,-6.6176
2000-03-08,0.5906
2000-03-09,2.544
2000-03-10,9.542
2000-03-13,-4.3554
2000-03-14,-0.9107
2000-03-15,-1.1029
2000-03-16,4.0892
2000-03-17,1.4285999999999999
2000-03-20,-1.5845
2000-03-21,0.1789
2000-03-22,5.1786
2000-03-23,-0.8489
2000-03-24,-0.8562
2000-03-27,-0.5181
2000-03-28,-1.2153
2000-03-29,4.2179
2000-03-30,-3.0354
2000-03-31,2.087
2000-04-03,0.1704
2000-04-04,-8.8435
2000-04-05,4.8507
2000-04-06,4.2705
2000-04-07,-1.7065000000000001
2000-04-10,-1.9097
2000-04-11,-0.354
2000-04-12,-4.0853
2000-04-13,-1.2963
2000-04-14,-2.0638
2000-04-17,-1.1494
2000-04-18,-3.1008
2000-04-19,-1.6
2000-04-20,5.0813
2000-04-24,0.1934
2000-04-25,3.4749
2000-04-26,0.7463
2000-04-27,1.2963
2000-04-28,3.8391
2000-05-01,2.8169
2000-05-02,-6.3356
2000-05-03,2.5594
2000-05-04,-0.3565
2000-05-05,-0.8945
2000-05-08,0.0
2000-05-09,-3.7906
2000-05-10,-1.3133
2000-05-11,7.0342
2000-05-12,-10.4796
2000-05-15,6.1508
2000-05-16,3.1776
2000-05-17,-1.2681
2000-05-18,4.7706
2000-05-19,-4.028
2000-05-22,0.7299
2000-05-23,-4.3478
