ticker,RACA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-07-09,14.3511
2020-07-10,15.2783
2020-07-13,-17.1979
2020-07-14,11.471
2020-07-15,-1.8803
2020-07-16,-5.4007
2020-07-17,-0.5525
2020-07-20,0.8148
2020-07-21,5.0698
2020-07-22,0.6993
2020-07-23,3.2396
2020-07-24,-1.12
2020-07-27,0.5442
2020-07-28,0.8119
2020-07-29,-5.8389
2020-07-30,6.9138
2020-07-31,-5.2
