ticker,HOMB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-06-23,11.1111
2006-06-26,6.0
2006-06-27,3.3019
2006-06-28,2.2374
2006-06-29,0.4913
2006-06-30,0.8889
2006-07-03,1.3216
2006-07-05,-3.1304
2006-07-06,-3.0969
2006-07-07,3.057
2006-07-10,-0.8989
2006-07-11,0.907
2006-07-12,-1.2135
2006-07-13,-0.8189
2006-07-14,-1.1927
2006-07-17,0.6035
2006-07-18,0.8306
2006-07-19,0.0458
2006-07-20,-2.1043
2006-07-21,0.4673
2006-07-24,0.8372
2006-07-25,-1.0148
2006-07-26,-1.165
2006-07-27,1.0844
2006-07-28,0.7463
2006-07-31,0.9259
2006-08-01,-1.3761
2006-08-02,-0.6977
2006-08-03,2.4356
2006-08-04,2.7892
2006-08-07,-0.3559
2006-08-08,-1.2946
2006-08-09,-1.9447999999999999
2006-08-10,-1.7989000000000002
2006-08-11,-0.5636
2006-08-14,-1.4643
2006-08-15,0.4314
2006-08-16,0.0
2006-08-17,0.1909
2006-08-18,-1.191
2006-08-21,-0.0482
2006-08-22,-0.1447
2006-08-23,-0.2415
2006-08-24,-0.6295
2006-08-25,0.6335
2006-08-28,-0.2421
2006-08-29,0.9709
2006-08-30,0.9615
2006-08-31,0.8333
2006-09-01,-0.5674
2006-09-05,0.1427
2006-09-06,0.5223
2006-09-07,1.8895
2006-09-08,3.7546
2006-09-11,-2.5911
2006-09-12,0.2752
2006-09-13,0.183
2006-09-14,1.8721
2006-09-15,1.4792
2006-09-18,-0.1767
2006-09-19,-0.7965
2006-09-20,1.2489
2006-09-21,-1.674
2006-09-22,1.3441
2006-09-25,-1.2821
2006-09-26,1.5226
2006-09-27,-0.2647
2006-09-28,-0.973
2006-09-29,-1.3845
2006-10-02,-1.8115999999999999
2006-10-03,-0.738
2006-10-04,0.79
2006-10-05,-0.4149
2006-10-06,-2.6852
2006-10-09,3.901
2006-10-10,0.2289
2006-10-11,-0.5939
2006-10-12,1.1029
2006-10-13,0.8636
2006-10-16,-0.2704
2006-10-17,0.4067
2006-10-18,-0.7201
2006-10-19,-0.5893
2006-10-20,-0.1368
2006-10-23,1.6895
2006-10-24,-0.5388
2006-10-25,-0.2257
2006-10-26,-0.2262
2006-10-27,2.0408
2006-10-30,-0.9778
2006-10-31,-0.9874
2006-11-01,-2.7199
2006-11-02,-0.1864
2006-11-03,0.1867
2006-11-06,2.1435
2006-11-07,0.1825
2006-11-08,1.2295
2006-11-09,-2.834
2006-11-10,0.2315
