ticker,LOAN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,15.625
2000-01-04,-8.1081
2000-01-05,5.8824
2000-01-06,-4.1667
2000-01-07,0.0
2000-01-10,10.1449
2000-01-11,0.0
2000-01-12,-2.6316
2000-01-13,-2.7027
2000-01-14,-4.1667
2000-01-18,-2.8986
2000-01-19,-5.9701
2000-01-20,1.5873
2000-01-21,-4.6875
2000-01-24,3.2787
2000-01-25,-1.5873
2000-01-26,16.129
2000-01-27,-1.3889
2000-01-28,-1.4085
2000-01-31,1.4285999999999999
2000-02-01,1.4085
2000-02-02,-1.3889
2000-02-03,-4.2254
2000-02-04,0.0
2000-02-07,1.4706000000000001
2000-02-08,-1.4493
2000-02-09,4.4118
2000-02-10,-5.6338
2000-02-11,2.9851
2000-02-14,-1.4493
2000-02-15,5.1471
2000-02-16,13.2867
2000-02-17,1.2346
2000-02-18,-4.878
2000-02-22,-7.6923
2000-02-23,11.1111
2000-02-24,0.0
2000-02-25,-7.5
2000-02-28,5.4054
2000-02-29,-1.2821
2000-03-01,-5.5195
2000-03-02,4.4674
2000-03-03,-5.2632
2000-03-06,4.1667
2000-03-07,6.6667
2000-03-08,-7.5
2000-03-09,2.7027
2000-03-10,0.0
2000-03-13,-2.6316
2000-03-14,-2.7027
2000-03-15,-1.3889
2000-03-16,7.0423
2000-03-17,0.0
2000-03-20,-10.526299999999999
2000-03-21,8.8235
2000-03-22,8.1081
2000-03-23,-7.5
2000-03-24,-5.4054
2000-03-27,-0.7143
2000-03-28,2.8777
2000-03-29,6.2937
2000-03-30,-10.526299999999999
2000-03-31,0.0
2000-04-03,-2.9412000000000003
2000-04-04,-3.0303
2000-04-05,0.0
2000-04-06,-6.25
2000-04-07,0.0
2000-04-10,-3.3333
2000-04-11,1.7241
2000-04-12,1.6949
2000-04-13,-1.6667
2000-04-14,-11.8644
2000-04-17,-17.3077
2000-04-18,20.9302
2000-04-19,9.6154
2000-04-20,1.7544
2000-04-24,-5.1724
2000-04-25,3.6364
2000-04-26,-3.5088
2000-04-27,1.8182
2000-04-28,8.9286
2000-05-01,6.5574
2000-05-02,10.7692
2000-05-03,-1.3889
2000-05-04,-5.6338
2000-05-05,0.0
2000-05-08,-2.9851
2000-05-09,-1.5385
2000-05-10,-6.25
2000-05-11,-3.3333
2000-05-12,3.4483
2000-05-15,-3.3333
2000-05-16,-3.4483
2000-05-17,0.0
2000-05-18,-3.5714
2000-05-19,-11.1111
2000-05-23,-10.4167
2000-05-24,2.3256
