ticker,TMHC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-04-10,4.7273
2013-04-11,4.2101
2013-04-12,1.2078
2013-04-15,-3.4979
2013-04-16,1.2793
2013-04-17,-0.7158
2013-04-18,-1.7388
2013-04-19,3.798
2013-04-22,-1.2474
2013-04-23,-1.1368
2013-04-24,3.2794
2013-04-25,1.8557000000000001
2013-04-26,3.4413
2013-04-29,2.0744
2013-04-30,-1.1503
2013-05-01,-1.1637
2013-05-02,4.8666
2013-05-03,-0.8982
2013-05-06,1.5106000000000002
2013-05-07,0.0372
2013-05-08,-2.9379
2013-05-09,-0.9579
2013-05-10,1.354
2013-05-13,-0.916
2013-05-14,2.6579
2013-05-15,-2.9644
2013-05-16,-2.4749
2013-05-17,0.4362
2013-05-20,3.9478999999999997
2013-05-21,-0.8735
2013-05-22,0.1916
2013-05-23,1.6825999999999999
2013-05-24,-1.0906
2013-05-28,1.0646
2013-05-29,-2.2573
2013-05-30,1.1547
2013-05-31,-1.7123
2013-06-03,-0.3871
2013-06-04,-2.7206
2013-06-05,-4.4746
2013-06-06,4.4751
2013-06-07,0.2002
2013-06-10,-0.5593
2013-06-11,-2.0892
2013-06-12,-1.7645
2013-06-13,3.8847
2013-06-14,1.4073
2013-06-17,0.9913
2013-06-18,4.8685
2013-06-19,-1.1981
2013-06-20,-3.5620000000000003
2013-06-21,-1.1002
2013-06-24,-4.4497
2013-06-25,1.9958
2013-06-26,-1.1007
2013-06-27,3.6273999999999997
2013-06-28,-3.0231
2013-07-01,1.3126
2013-07-02,-1.7004000000000001
2013-07-03,2.0593
2013-07-05,-3.9548
2013-07-08,0.5042
2013-07-09,3.2609
2013-07-10,-0.6478
2013-07-11,4.8492
2013-07-12,0.6218
2013-07-15,-2.8582
2013-07-16,-2.4254
2013-07-17,2.3635
2013-07-18,-1.5525
2013-07-19,-0.1213
2013-07-22,-0.2024
2013-07-23,-0.2028
2013-07-24,-1.3820999999999999
2013-07-25,-6.8013
2013-07-26,1.2826
2013-07-29,-2.7074
2013-07-30,3.6355
2013-07-31,4.9372
2013-08-01,-7.8002
2013-08-02,0.2686
2013-08-05,-1.2054
2013-08-06,-0.5423
2013-08-07,-4.3162
2013-08-08,2.0893
2013-08-09,2.6977
2013-08-12,-0.5435
2013-08-13,-0.0911
2013-08-14,-8.7056
2013-08-15,0.1498
2013-08-16,2.5922
2013-08-19,-3.0126
2013-08-20,2.7054
2013-08-21,1.2195
2013-08-22,2.9398
2013-08-23,-1.264
