ticker,LAIX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-09-28,-0.7905
2018-10-01,-3.2669
2018-10-02,-3.2125
2018-10-03,2.7234
2018-10-04,-1.657
2018-10-05,-2.9486
2018-10-08,-3.2118
2018-10-09,-3.0493
2018-10-10,-14.9861
2018-10-11,2.2851
2018-10-12,4.2553
2018-10-15,2.1429
2018-10-16,4.8951
2018-10-17,10.9524
2018-10-18,-3.5193
2018-10-19,5.8719
2018-10-22,-0.4202
2018-10-23,-3.3755
2018-10-24,1.1354
2018-10-25,0.8636
2018-10-26,-2.7397
2018-10-29,1.4965
2018-10-30,-5.2905
2018-10-31,2.8388
2018-11-01,-2.0481
2018-11-02,-3.8182
2018-11-05,-6.4272
2018-11-06,0.5051
2018-11-07,1.8090000000000002
2018-11-08,-4.541
2018-11-09,-9.3071
2018-11-12,0.0
2018-11-13,2.0525
2018-11-14,0.5587
2018-11-15,-1.1111
2018-11-16,0.5618
2018-11-19,-4.2458
2018-11-20,-9.5683
2018-11-21,-1.2903
2018-11-23,2.7451
2018-11-26,4.9618
2018-11-27,7.3939
2018-11-28,1.5800999999999998
2018-11-29,0.3333
2018-11-30,-0.443
2018-12-03,1.2236
2018-12-04,-2.967
2018-12-06,2.6048
2018-12-07,-3.4215999999999998
2018-12-10,1.2570999999999999
2018-12-11,0.7901
2018-12-12,-1.7256
2018-12-13,1.1862
2018-12-14,-1.3514
2018-12-17,-0.1142
2018-12-18,-1.6
2018-12-19,0.6969
2018-12-20,-4.729
2018-12-21,-5.569
2018-12-24,-7.0513
2018-12-26,9.1034
2018-12-27,1.0114
2018-12-28,-1.7522
2018-12-31,-3.4395
2019-01-02,6.8602
2019-01-03,-2.4691
2019-01-04,7.5949
2019-01-07,-0.5882
2019-01-08,3.1953
2019-01-09,-1.3761
2019-01-10,0.5628
2019-01-11,-0.444
2019-01-14,-1.2195
2019-01-15,2.2928
2019-01-16,0.9195
2019-01-17,-1.2528000000000001
2019-01-18,0.346
2019-01-22,3.1034
2019-01-23,-5.6856
2019-01-24,2.6005000000000003
2019-01-25,-1.9123999999999999
2019-01-28,5.5908
2019-01-29,5.5617
2019-01-30,14.8577
2019-01-31,14.6789
2019-02-01,-3.1192
2019-02-04,4.7101
2019-02-05,-0.8714
2019-02-06,-0.716
2019-02-07,-6.8109
2019-02-08,11.7799
2019-02-11,-3.3077
2019-02-12,-3.3413
2019-02-13,-3.3745
2019-02-14,-2.0443
2019-02-15,-0.2609
2019-02-19,2.7027
