ticker,IBOC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.565
2000-01-04,-1.2429000000000001
2000-01-05,-1.9058000000000002
2000-01-06,-1.7595
2000-01-07,0.2985
2000-01-10,-0.8929
2000-01-11,-0.3003
2000-01-12,-0.9036
2000-01-13,2.1277
2000-01-14,0.0
2000-01-18,-2.3810000000000002
2000-01-19,-0.9146
2000-01-20,-1.2308
2000-01-21,0.0
2000-01-24,2.1807
2000-01-25,0.0
2000-01-26,-1.8293
2000-01-27,0.0
2000-01-28,0.7764
2000-01-31,-0.1541
2000-02-01,-1.5432000000000001
2000-02-02,-1.5674000000000001
2000-02-03,7.0064
2000-02-04,-2.3810000000000002
2000-02-07,1.2195
2000-02-08,-0.9036
2000-02-09,0.304
2000-02-10,-5.4545
2000-02-11,0.0
2000-02-14,1.1218
2000-02-15,3.0111
2000-02-16,-3.6923
2000-02-17,2.2364
2000-02-18,-2.1875
2000-02-22,0.9585
2000-02-23,1.2658
2000-02-24,-2.5
2000-02-25,1.9231
2000-02-28,-2.044
2000-02-29,-0.6421
2000-03-01,2.1002
2000-03-02,-1.2658
2000-03-03,0.0
2000-03-06,-0.3205
2000-03-07,-2.2508
2000-03-08,3.2895
2000-03-09,-1.9108
2000-03-10,-1.3393
2000-03-13,-1.9334
2000-03-14,0.3356
2000-03-15,1.3378
2000-03-16,4.9505
2000-03-17,0.0
2000-03-20,0.3145
2000-03-21,0.3135
2000-03-22,-0.625
2000-03-23,0.6289
2000-03-24,2.5
2000-03-27,-0.9146
2000-03-28,-0.7692
2000-03-29,2.2636
2000-03-30,-2.0
2000-03-31,1.7268
2000-04-03,-1.2346
2000-04-04,0.0
2000-04-05,4.0625
2000-04-06,-1.8018
2000-04-07,2.7523
2000-04-10,-4.7619
2000-04-11,1.875
2000-04-12,0.0
2000-04-13,0.0
2000-04-14,3.0675
2000-04-17,3.2738
2000-04-18,-0.8646
2000-04-19,-1.3081
2000-04-20,1.0309
2000-04-24,-3.7901
2000-04-25,-0.6061
2000-04-26,-1.2195
2000-04-27,2.4691
2000-04-28,-0.3012
2000-05-01,4.5317
2000-05-02,0.1445
2000-05-03,0.4329
2000-05-04,0.0
2000-05-05,-0.5747
2000-05-08,0.578
2000-05-09,0.0718
2000-05-10,0.7897
2000-05-11,-1.4245
2000-05-12,-1.4451
2000-05-15,3.2258
2000-05-16,-0.2841
2000-05-17,-2.5641
2000-05-18,0.0
2000-05-19,-4.0936
2000-05-22,-2.7439
