ticker,RVRA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-08-09,5.3763
2018-08-10,-3.0612
2018-08-13,0.0
2018-08-14,-5.4737
2018-08-15,-7.5724
2018-08-16,2.8916
2018-08-17,3.0445
2018-08-20,4.3182
2018-08-21,-5.0109
2018-08-22,0.0
2018-08-23,0.6881
2018-08-24,0.2278
2018-08-27,0.0
2018-08-28,0.0
2018-08-29,-0.2273
2018-08-30,-0.9112
2018-08-31,-1.1494
2018-09-04,0.4651
2018-09-05,-0.9259
2018-09-06,-0.7009
2018-09-07,-1.1764999999999999
2018-09-10,1.1905000000000001
2018-09-11,0.0
2018-09-12,-1.1764999999999999
2018-09-13,0.7143
2018-09-14,0.4728
2018-09-17,0.2824
2018-09-18,-0.2816
2018-09-19,-0.1882
2018-09-20,-0.0471
2018-09-21,-0.9434
2018-09-24,1.4285999999999999
2018-09-25,2.1127
2018-09-26,-0.1379
2018-09-27,-0.5525
2018-09-28,-0.6944
2018-10-01,1.2121
2018-10-02,-0.5067
2018-10-03,-0.2315
2018-10-04,0.0
2018-10-05,0.9281
2018-10-08,0.4598
2018-10-09,-0.595
2018-10-10,-0.6446
2018-10-11,-0.2317
2018-10-12,1.4863
2018-10-15,-0.0458
2018-10-16,0.0458
2018-10-17,0.5492
2018-10-18,-0.7283
2018-10-19,0.8253
2018-10-22,-0.4093
2018-10-23,-0.137
2018-10-24,-5.3498
2018-10-25,1.4493
2018-10-26,0.7143
2018-10-29,0.1418
2018-10-30,0.1889
2018-10-31,0.4713
2018-11-01,1.7824
2018-11-02,-0.6912
2018-11-05,0.0
2018-11-06,-0.6961
2018-11-07,1.4019
2018-11-08,-0.4147
2018-11-09,-1.2031
2018-11-12,-0.5152
2018-11-13,-0.6591
2018-11-14,-0.4739
2018-11-15,-0.2381
2018-11-16,-0.716
2018-11-19,-0.3846
2018-11-20,-2.9923
2018-11-21,-0.995
2018-11-23,-1.7085
2018-11-26,-1.5849
2018-11-27,-1.5065
2018-11-28,-1.5032
2018-11-29,0.4016
2018-11-30,-1.44
2018-12-03,0.6494
2018-12-04,-0.5376
2018-12-06,-5.4054
2018-12-07,0.0
2018-12-10,-1.8286
2018-12-11,-1.9207999999999998
2018-12-12,0.8902
2018-12-13,-0.7059
2018-12-14,-2.5474
2018-12-17,-4.2553
2018-12-18,-6.3492
2018-12-19,0.339
2018-12-20,0.0
2018-12-21,1.6892
2018-12-24,0.3322
2018-12-26,-0.596
2018-12-27,0.0
2018-12-28,-1.066
