ticker,HRTT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,61.2903
2000-01-05,-40.0
2000-01-07,6.6667
2000-01-12,-12.5
2000-01-19,7.1429
2000-01-27,-26.6667
2000-01-31,-22.7273
2000-02-01,-5.8824
2000-02-07,-25.0
2000-02-09,33.3333
2000-02-10,-25.0
2000-02-11,8.3333
2000-02-14,0.0
2000-02-24,-38.4615
2000-02-29,50.0
2000-03-01,0.0
2000-03-03,0.0
2000-03-09,0.0
2000-03-14,0.0
2000-03-17,-41.6667
2000-03-22,128.5714
2000-03-23,3.125
2000-03-24,-3.0303
2000-03-28,-50.0
2000-04-03,12.5
2000-04-20,-5.5556
2000-04-27,-23.5294
2000-04-28,-68.0
2000-05-04,44.2308
2000-05-25,-30.6667
2000-06-02,-3.8462
2000-06-05,-50.0
2000-06-30,0.0
2000-07-06,0.0
2000-07-25,100.0
2000-08-01,-50.0
2000-09-05,100.0
2000-09-12,-68.0
2000-10-18,25.0
2000-12-07,4.3841
2000-12-15,0.0
2000-12-19,0.0
2001-03-06,0.0
2001-06-04,0.0
2001-06-29,0.0
2001-10-30,-16.6667
2002-01-28,-20.0
2002-10-11,-75.0
2002-10-14,1700.0
2002-10-17,0.0
2002-10-18,0.0
2002-10-21,11.1111
2002-10-22,101.0
2002-10-24,-20.398
2002-10-25,37.5
2002-10-28,-4.5455
2002-10-29,42.8571
2002-10-30,-27.0
2002-10-31,0.4566
2002-11-01,8.1818
2002-11-05,-28.5714
2002-11-06,17.647100000000002
2002-11-08,-1.5
2002-11-11,-23.8579
2002-11-12,6.6667
2002-11-13,0.0
2002-11-14,-12.5
2002-11-15,0.0
2002-11-18,0.0
2002-11-19,0.0
2002-11-20,-0.7143
2002-11-21,-13.6691
2002-11-22,8.3333
2002-11-25,-20.7692
2002-11-26,11.6505
2002-11-27,7.8261
2002-11-29,12.9032
2002-12-02,-14.2857
2002-12-03,12.5
2002-12-04,14.8148
2002-12-05,0.0
2002-12-06,0.0
2002-12-09,0.0
2002-12-10,0.0
2002-12-11,0.0
2002-12-12,3.2258
2002-12-13,0.0
2002-12-16,0.0
2002-12-17,0.0
2002-12-18,3.75
2002-12-19,-27.7108
2002-12-20,-1.6667
2002-12-23,0.0
2002-12-24,5.9322
2002-12-26,4.0
2002-12-27,-3.8462
2002-12-30,-13.6
2002-12-31,9.2593
2003-01-02,0.0
2003-01-03,8.4746
2003-01-06,-4.6875
2003-01-07,1.6393
2003-01-08,-4.8387
2003-01-09,0.0
