ticker,LRDG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-21,-25.0
2016-09-22,0.0
2016-09-23,0.0
2016-09-26,0.0
2016-10-03,0.0
2016-10-07,-79.9833
2016-10-10,6.5779
2016-10-12,306.25
2016-10-14,0.0
2016-10-20,0.0
2016-10-27,0.0
2016-12-22,-84.6154
2017-01-10,550.0
2017-01-18,1.5385
2017-01-19,-1.5152
2017-03-03,0.0
2017-03-20,0.0
2017-04-20,-61.5385
2017-04-21,-20.0
2017-04-24,0.0
2017-04-26,0.0
2017-04-27,25.0
2017-04-28,4.0
2017-05-01,-3.8462
2017-05-04,0.0
2017-05-08,0.0
2017-06-06,-20.0
2017-06-28,0.0
2017-07-13,0.0
2017-07-19,0.0
2017-07-20,0.0
2017-07-21,0.0
2017-08-10,-50.0
2017-08-11,50.0
2017-08-24,3.3333
2017-08-25,0.0
2017-08-28,-43.871
2017-08-29,-51.1494
2017-08-30,-64.2353
2017-08-31,9.8684
2017-09-01,-10.7784
2017-09-05,-26.1745
2017-09-06,-10.0
2017-09-07,6.0606
2017-09-08,-11.4286
2017-09-11,7.5269
2017-09-12,-4.0
2017-09-13,0.0
2017-09-14,-6.25
2017-09-15,6.6667
2017-09-18,-11.4583
2017-09-19,1.1764999999999999
2017-09-20,-1.1628
2017-09-21,0.0
2017-09-22,14.1176
2017-09-25,-7.2165
2017-09-26,-30.0
2017-09-27,34.9206
2017-09-28,-16.4706
2017-09-29,18.3099
2017-10-02,-10.7143
2017-10-03,-6.6667
2017-10-04,2.0
2017-10-06,-0.5602
2017-10-09,21.1268
2017-10-10,-18.6047
2017-10-11,20.0
2017-10-12,-22.619
2017-10-13,-3.0769
2017-10-16,-4.7619
2017-10-17,-16.6667
2017-10-18,0.0
2017-10-19,0.0
2017-10-20,-14.0
2017-10-23,-2.3256
2017-10-24,-17.8571
2017-10-25,15.942
2017-10-26,12.5
2017-10-27,-28.8889
2017-10-30,-6.25
2017-10-31,-13.3333
2017-11-01,-3.8462
2017-11-02,-20.0
2017-11-03,0.0
2017-11-06,-5.0
2017-11-07,31.5789
2017-11-08,36.0
2017-11-09,23.5294
2017-11-10,-9.5238
2017-11-13,0.0
2017-11-14,-18.4211
2017-11-15,-6.4516
2017-11-16,0.0
2017-11-17,12.4138
2017-11-20,4.2945
2017-11-21,-32.3529
2017-11-22,8.6957
2017-11-24,8.0
2017-11-27,14.8148
2017-11-28,-16.129
2017-11-29,19.2308
2017-11-30,-3.2258
2017-12-01,-6.6667
