ticker,COHR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.5701
2000-01-04,-1.4388
2000-01-05,4.1363
2000-01-06,7.0093
2000-01-07,4.8035
2000-01-10,42.9167
2000-01-11,-17.7843
2000-01-12,16.3121
2000-01-13,0.9146
2000-01-14,0.1511
2000-01-18,7.6923
2000-01-19,12.605
2000-01-20,-3.2338
2000-01-21,-2.3136
2000-01-24,4.3421
2000-01-25,9.9622
2000-01-26,-1.7202
2000-01-27,-2.9172000000000002
2000-01-28,-14.9038
2000-01-31,-0.4237
2000-02-01,13.1915
2000-02-02,2.7569
2000-02-03,6.0976
2000-02-04,-1.6092
2000-02-07,3.6215
2000-02-08,2.9312
2000-02-09,3.8335
2000-02-10,7.384
2000-02-11,-5.9921
2000-02-14,7.001
2000-02-15,6.543
2000-02-16,11.824
2000-02-17,5.7377
2000-02-18,-1.6279
2000-02-22,-4.3341
2000-02-23,1.4003
2000-02-24,11.9415
2000-02-25,12.0464
2000-02-28,0.0648
2000-02-29,9.7735
2000-03-01,-5.7193000000000005
2000-03-02,-13.8211
2000-03-03,14.0058
2000-03-06,-8.5933
2000-03-07,-4.4568
2000-03-08,0.0
2000-03-09,3.207
2000-03-10,-6.2147
2000-03-13,-6.1370000000000005
2000-03-14,-2.126
2000-03-15,-7.7049
2000-03-16,9.7691
2000-03-17,4.8544
2000-03-20,-11.1111
2000-03-21,0.0
2000-03-22,9.0278
2000-03-23,2.4283
2000-03-24,-5.7909
2000-03-27,1.2376
2000-03-28,-6.194
2000-03-29,-6.6898
2000-03-30,-17.6909
2000-03-31,-5.8824
2000-04-03,2.7644
2000-04-04,-4.7953
2000-04-05,-2.8256
2000-04-06,12.263
2000-04-07,1.464
2000-04-10,-11.2098
2000-04-11,2.875
2000-04-12,-6.6829
2000-04-13,4.6875
2000-04-14,-5.9701
2000-04-17,-1.3228
2000-04-18,16.8901
2000-04-19,1.3761
2000-04-20,-5.543
2000-04-24,-5.3892
2000-04-25,16.962
2000-04-26,-7.3593
2000-04-27,-2.8037
2000-04-28,11.1779
2000-05-01,6.3784
2000-05-02,-0.9146
2000-05-03,-9.538499999999999
2000-05-04,-1.6723
2000-05-05,7.812
2000-05-08,-1.6042999999999998
2000-05-09,-2.8261
2000-05-10,-10.5145
2000-05-11,8.0
2000-05-12,3.8194
2000-05-15,-1.6722000000000001
2000-05-16,8.39
2000-05-17,8.159
2000-05-18,-7.5435
2000-05-19,-3.3473
2000-05-22,-5.303
2000-05-23,-1.6
