ticker,CWBR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-01-29,-3.5842
2015-02-11,8.1784
2015-02-25,-0.8247
2015-02-27,-3.465
2015-03-04,8.7581
2015-03-06,-3.6304
2015-03-10,-0.4795
2015-03-11,0.0
2015-03-19,-10.0482
2015-03-24,2.1423
2015-04-06,-3.1461
2015-04-13,-11.4462
2015-04-20,-5.7642
2015-04-21,-1.4828999999999999
2015-05-19,-8.2785
2015-05-20,-2.5641
2015-05-21,0.5263
2015-05-22,4.712
2015-05-26,-6.0
2015-05-27,0.0
2015-05-29,1.0638
2015-06-01,-1.5789
2015-06-03,-4.2781
2015-06-09,10.0559
2015-06-10,-5.0761
2015-06-12,2.1390000000000002
2015-06-15,-1.1518
2015-06-16,0.1059
2015-06-22,0.0
2015-06-23,1.0582
2015-06-24,4.1885
2015-06-25,-1.4761
2015-06-26,2.8244
2015-06-29,0.0
2015-07-07,-0.7937
2015-07-16,-4.5
2015-07-17,4.712
2015-07-22,0.2
2015-07-24,-0.1996
2015-07-30,5.0
2015-07-31,4.0
2015-08-03,1.6484
2015-08-05,0.0
2015-08-07,-2.8829000000000002
2015-08-10,-3.525
2015-08-11,0.0
2015-08-12,0.9615
2015-08-13,0.1905
2015-08-19,-0.1901
2015-08-20,0.0
2015-08-21,0.0
2015-09-01,-1.9048
2015-09-04,-0.9709
2015-09-10,-1.9607999999999999
2015-09-17,13.0
2015-09-18,1.7699
2015-09-21,-4.3478
2015-09-22,2.7273
2015-09-23,0.885
2015-09-25,0.5263
2015-09-28,2.6178
2015-09-29,0.3401
2015-10-01,0.0
2015-10-08,0.4237
2015-10-14,10.5485
2015-10-15,-9.1603
2015-10-23,10.084
2015-10-26,-3.8167999999999997
2015-10-27,-5.0794
2015-10-30,0.3344
2015-11-03,-1.6667
2015-11-05,-1.6949
2015-11-06,2.7586
2015-11-10,-2.1812
2015-11-11,2.916
2015-11-12,-1.6667
2015-11-13,-0.8475
2015-11-16,-0.8547
2015-11-17,-1.7241
2015-11-18,0.8772
2015-11-19,0.0
2015-11-20,-0.3478
2015-11-23,-0.5236
2015-11-24,0.1754
2015-11-25,1.5762
2015-12-01,0.0
2015-12-02,-2.5862
2015-12-03,0.885
2015-12-08,-0.8772
2015-12-09,7.9646
2015-12-21,-2.459
2015-12-22,-5.8824
2015-12-23,-0.8929
2016-01-05,-0.9009
2016-01-07,0.0
2016-01-13,-1.0909
2016-01-19,-1.6543999999999999
2016-01-20,-0.9346
2016-01-22,3.7736
