ticker,FVSTA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-06,2.2472
2000-01-07,6.5934
2000-01-10,0.0
2000-01-11,0.0
2000-01-14,1.0309
2000-01-18,-2.0408
2000-01-19,-4.1667
2000-01-21,0.0
2000-01-28,2.1739
2000-02-04,-2.1277
2000-02-09,4.3478
2000-02-14,0.0
2000-02-22,8.3333
2000-02-23,-15.3846
2000-02-25,18.1818
2000-03-02,-3.8462
2000-03-03,-8.0
2000-03-06,-4.3478
2000-03-07,0.0
2000-03-15,0.0
2000-03-16,0.0
2000-03-17,6.8182
2000-03-20,-6.383
2000-03-21,6.8182
2000-03-23,2.1277
2000-03-24,25.0
2000-03-27,-10.0
2000-03-28,9.9259
2000-03-29,1.0782
2000-03-30,-6.6667
2000-03-31,3.5714
2000-04-03,-14.4828
2000-04-04,-1.2097
2000-04-05,-2.0408
2000-04-06,16.6667
2000-04-07,-14.2857
2000-04-10,16.6667
2000-04-11,-14.2857
2000-04-12,-2.0833
2000-04-13,-6.383
2000-04-14,0.0
2000-04-17,18.1818
2000-04-18,-1.9231
2000-04-19,-13.7255
2000-04-20,-9.0909
2000-04-24,1.25
2000-04-25,0.0
2000-04-26,11.1111
2000-04-27,-8.8889
2000-05-01,-2.439
2000-05-02,-20.0
2000-05-03,0.0
2000-05-04,0.0
2000-05-05,3.125
2000-05-08,-12.1212
2000-05-09,13.7931
2000-05-10,-3.0303
2000-05-11,-6.25
2000-05-12,0.0
2000-05-15,0.0
2000-05-18,-20.0
2000-05-19,83.3333
2000-06-30,-27.2727
2000-07-10,50.0
2000-08-01,-33.3333
2000-08-16,37.5
2000-08-22,-27.2727
2000-08-23,37.5
2000-09-12,-9.0909
2000-09-13,-20.0
2000-09-14,0.0
2000-09-18,3.125
2000-10-05,-21.2121
2000-10-16,-23.0769
2000-10-17,10.0
2000-10-26,27.2727
2000-11-08,14.2857
2000-11-13,-37.5
2000-11-16,20.0
2000-11-17,0.0
2000-11-22,-16.6667
2000-12-04,-20.0
2000-12-06,0.0
2000-12-21,87.5
2001-01-04,-46.6667
2001-01-23,37.5
2001-01-25,-9.0909
2001-01-26,0.0
2001-01-31,0.0
2001-02-01,0.0
2001-02-06,-10.0
2001-02-12,-11.1111
2001-02-16,0.0
2001-02-27,11.0
2001-02-28,-9.9099
2001-03-06,0.0
2001-03-28,-25.0
2001-03-30,25.0
2001-04-02,6.6667
2001-04-09,5.0
2001-05-31,0.0
2001-06-08,-42.8571
2001-06-13,-15.0
