ticker,BBCP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-08-22,0.0
2017-08-24,0.0
2017-08-25,0.1351
2017-08-28,-0.0319
2017-08-29,0.103
2017-08-30,0.0
2017-09-01,0.1019
2017-09-05,0.2066
2017-09-06,-0.2051
2017-09-07,-0.1028
2017-09-08,0.0
2017-09-11,0.4115
2017-09-12,0.0
2017-09-13,0.1025
2017-09-14,-0.3071
2017-09-15,0.4107
2017-09-18,-0.2045
2017-09-19,-0.3074
2017-09-20,0.0576
2017-09-21,-0.0575
2017-09-22,0.0
2017-09-25,0.1028
2017-09-26,-0.1027
2017-09-27,0.2055
2017-09-28,0.3077
2017-10-02,-0.0971
2017-10-03,-0.1075
2017-10-09,-0.1025
2017-10-10,0.0
2017-10-11,0.1026
2017-10-12,0.123
2017-10-13,-0.0205
2017-10-16,-0.0471
2017-10-17,-0.0553
2017-10-19,0.0
2017-10-20,0.4693
2017-10-23,-0.5691
2017-10-24,0.5128
2017-10-25,0.0
2017-10-26,-0.6122
2017-10-27,0.0164
2017-10-30,0.0862
2017-10-31,0.0
2017-11-01,-0.2051
2017-11-02,0.0113
2017-11-03,-0.0041
2017-11-06,-0.11
2017-11-07,0.0
2017-11-08,-0.1029
2017-11-09,-0.0494
2017-11-10,0.0495
2017-11-13,-0.206
2017-11-14,-0.0072
2017-11-16,-0.096
2017-11-17,0.3099
2017-11-20,-0.2595
2017-11-21,0.1569
2017-11-27,0.5144
2017-11-29,-0.5118
2017-11-30,0.0
2017-12-05,0.4124
2017-12-13,-0.154
2017-12-15,0.1542
2017-12-18,-0.4107
2017-12-19,-0.2062
2017-12-21,0.1353
2017-12-27,0.2775
2017-12-28,0.3086
2018-01-02,-0.1026
2018-01-03,0.0
2018-01-04,-0.0103
2018-01-10,-0.5031
2018-01-11,0.7224
2018-01-12,-0.2049
2018-01-16,0.0
2018-01-17,0.0
2018-01-18,0.308
2018-01-19,0.5118
2018-01-22,-0.7128
2018-01-23,0.7179
2018-01-24,0.0
2018-01-25,-0.4073
2018-01-29,0.1022
2018-01-30,0.3064
2018-01-31,-0.001
2018-02-01,-0.1018
2018-02-02,-0.1009
2018-02-06,0.0
2018-02-08,-0.5102
2018-02-09,0.1026
2018-02-12,0.1025
2018-02-14,0.1024
2018-02-15,-0.409
2018-02-16,0.0503
2018-02-20,0.3602
2018-02-22,0.2035
2018-02-23,0.001
2018-02-26,0.0
2018-02-27,-0.4082
2018-02-28,0.2049
2018-03-01,0.409
2018-03-02,-0.611
