ticker,EXEO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-02,0.0
2014-05-09,0.0
2014-05-12,0.0
2014-05-13,0.0
2014-05-15,0.0
2014-05-16,0.0
2014-05-19,-7.563
2014-05-20,0.0
2014-05-22,8.1818
2014-05-23,0.0
2014-05-28,-7.563
2014-05-29,0.0
2014-06-02,4.5455
2014-06-04,3.4783
2014-06-09,-4.2017
2014-06-11,-3.5088
2014-06-24,10.0
2014-06-25,-9.0909
2014-07-15,-31.8182
2014-07-16,33.3333
2014-07-17,15.0
2014-07-24,0.0
2014-07-29,-8.6957
2014-08-04,9.5238
2014-08-12,0.0
2014-08-21,0.0
2014-09-05,-8.6957
2014-09-10,0.0
2014-09-15,-4.7619
2014-09-16,5.0
2014-09-22,-4.7619
2014-10-02,0.0
2014-10-03,0.0
2014-10-15,-25.0
2014-10-17,30.6667
2014-10-22,-18.3673
2014-10-27,0.0
2014-11-05,25.0
2014-12-03,-21.0
2014-12-15,-11.3924
2014-12-19,0.0
2015-01-13,0.0
2015-01-21,0.0
2015-01-29,42.8571
2015-02-19,-10.0
2015-02-27,5.5556
2015-03-06,0.0
2015-03-27,0.0
2015-05-11,0.0
2015-05-14,0.0
2015-05-15,5.2632
2015-06-08,0.0
2015-06-15,5.0
2015-06-16,0.0
2015-06-18,0.0
2015-06-30,-4.7619
2015-07-08,-10.0
2015-07-14,11.1111
2015-07-15,5.0
2015-07-16,0.9524
2015-07-22,-0.9434
2015-07-28,-1.9048
2015-07-30,-3.8834999999999997
2015-07-31,1.0101
2015-08-03,0.0
2015-08-06,0.0
2015-08-10,0.0
2015-08-12,-2.0
2015-08-24,0.0
2015-08-26,-18.3673
2015-08-27,25.0
2015-09-01,0.0
2015-09-02,0.0
2015-09-14,-2.0
2015-09-15,2.0408
2015-09-25,-10.0
2015-10-02,-5.5556
2015-10-05,-4.7059
2015-10-09,4.9383
2015-10-12,0.0
2015-10-13,0.0
2015-10-19,0.0
2015-11-03,4.7059
2015-11-04,0.0
2015-11-06,-4.4944
2015-11-10,0.0
2015-11-12,3.5294
2015-11-13,0.0
2015-11-19,-9.0909
2015-11-20,11.25
2015-12-07,-10.1124
2015-12-08,11.25
2015-12-15,0.0
2016-01-11,-15.7303
2016-01-20,-6.6667
2016-01-21,-32.8571
2016-01-22,38.2979
2016-01-25,-1.5385
2016-01-29,1.5625
2016-02-01,0.0
2016-02-02,0.0
2016-02-03,7.6923
2016-02-04,7.1429
2016-02-05,18.6667
2016-02-09,-10.1124
