ticker,AEO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.2222
2000-01-04,-8.806799999999999
2000-01-05,7.5545
2000-01-06,-7.0963
2000-01-07,2.2603
2000-01-10,-1.2195
2000-01-11,-8.1019
2000-01-12,7.3048
2000-01-13,-1.4085
2000-01-14,-2.6984
2000-01-18,-0.1631
2000-01-19,-3.9215999999999998
2000-01-20,-2.2109
2000-01-21,1.7391
2000-01-24,0.5128
2000-01-25,-1.7006999999999999
2000-01-26,8.1315
2000-01-27,-2.08
2000-01-28,-8.2516
2000-01-31,3.4728
2000-02-01,-6.0241
2000-02-02,1.8315000000000001
2000-02-03,-12.9047
2000-02-04,-1.7037
2000-02-07,1.0504
2000-02-08,-2.3909000000000002
2000-02-09,-5.2183
2000-02-10,0.6742
2000-02-11,-3.5714
2000-02-14,5.5556
2000-02-15,-0.2193
2000-02-16,-9.011
2000-02-17,-19.0821
2000-02-18,-1.791
2000-02-22,10.6383
2000-02-23,-0.5495
2000-02-24,-2.7624
2000-02-25,2.2727
2000-02-28,2.5
2000-02-29,10.5691
2000-03-01,0.4902
2000-03-02,5.8537
2000-03-03,-0.4608
2000-03-06,-1.3889
2000-03-07,-0.2347
2000-03-08,1.6471
2000-03-09,-0.2315
2000-03-10,0.0
2000-03-13,-2.3202
2000-03-14,2.8504
2000-03-15,10.8545
2000-03-16,18.75
2000-03-17,-1.5789
2000-03-20,-6.2389
2000-03-21,1.1407
2000-03-22,10.1504
2000-03-23,-5.6314
2000-03-24,0.0
2000-03-27,-0.9494
2000-03-28,-1.2323
2000-03-29,3.512
2000-03-30,3.75
2000-03-31,4.475
2000-04-03,-10.2142
2000-04-04,-9.0367
2000-04-05,2.6727
2000-04-06,0.9823
2000-04-07,-1.9455
2000-04-10,-3.1746
2000-04-11,0.0
2000-04-12,-1.4344000000000001
2000-04-13,-5.6133
2000-04-14,-9.2511
2000-04-17,-10.4369
2000-04-18,9.2141
2000-04-19,-4.7146
2000-04-20,-0.7812
2000-04-24,-7.0866
2000-04-25,0.0
2000-04-26,-2.5423999999999998
2000-04-27,-10.4348
2000-04-28,-11.9741
2000-05-01,-3.3088
2000-05-02,0.7605
2000-05-03,-3.0189
2000-05-04,10.8949
2000-05-05,4.5614
2000-05-08,0.6711
2000-05-09,10.6667
2000-05-10,-9.0361
2000-05-11,0.9934
2000-05-12,0.0
2000-05-15,3.6066000000000003
2000-05-16,-3.1646
2000-05-17,-9.1503
2000-05-18,-5.3957
2000-05-19,0.0
