ticker,ITP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-10-17,200.0
2007-12-17,0.0
2007-12-18,66.6667
2008-01-10,-59.2
2008-01-14,0.0
2008-01-15,0.0
2008-01-28,0.0
2008-02-01,0.0
2008-02-15,-15.6863
2008-02-19,-2.3256
2008-03-06,-40.4762
2008-03-11,-4.0
2008-03-12,-16.6667
2008-03-18,-40.0
2008-03-25,25.0
2008-03-27,13.3333
2008-03-28,-41.1765
2008-03-31,150.0
2008-04-01,0.0
2008-04-04,56.0
2008-04-07,105.1282
2008-04-08,6.25
2008-04-14,-11.7647
2008-05-12,-26.6667
2008-05-13,-36.3636
2008-05-14,0.0
2008-05-15,2.8571
2008-05-16,2.7778
2008-05-19,-43.2432
2008-05-20,9.5238
2008-05-21,47.8261
2008-05-22,26.4706
2008-05-23,18.6047
2008-05-27,-5.8824
2008-05-28,-16.6667
2008-05-29,-27.5
2008-05-30,-4.1379
2008-06-02,-20.8633
2008-06-03,18.1818
2008-06-04,0.0
2008-06-05,-23.0769
2008-06-06,15.0
2008-06-09,-13.0435
2008-06-10,-10.0
2008-06-11,-5.5556
2008-06-12,5.8824
2008-06-13,5.5556
2008-06-16,5.2632
2008-06-17,-10.0
2008-06-18,0.0
2008-06-19,0.0
2008-06-20,-5.5556
2008-06-23,0.0
2008-06-24,-8.8235
2008-06-25,-3.2258
2008-06-26,13.3333
2008-06-27,0.0
2008-06-30,0.0
2008-07-01,-11.7647
2008-07-02,-10.0
2008-07-03,5.0463
2008-07-08,-8.3297
2008-07-09,0.0
2008-07-10,15.3846
2008-07-14,-16.6667
2008-07-15,0.0
2008-07-16,0.0
2008-07-17,4.0
2008-07-18,0.0
2008-07-21,-7.6923
2008-07-22,-12.5
2008-07-23,0.0
2008-07-24,-4.7619
2008-07-25,10.0
2008-07-28,0.0
2008-07-29,36.3636
2008-07-31,-20.0
2008-08-01,0.0
2008-08-04,-8.3333
2008-08-05,0.0
2008-08-08,0.0
2008-08-11,0.0
2008-08-13,36.3636
2008-08-14,0.0
2008-08-15,0.0
2008-08-18,-6.6667
2008-08-19,14.2857
2008-08-20,-18.75
2008-08-21,-3.8462
2008-08-25,28.0
2008-08-29,-18.75
2008-09-02,7.6923
2008-09-03,-7.1429
2008-09-05,7.6923
2008-09-08,0.0
2008-09-09,-7.1429
2008-09-10,15.3846
2008-09-11,9.3333
2008-09-12,-2.439
2008-09-15,-6.25
2008-09-16,0.0
2008-09-17,13.3333
2008-09-18,-5.8824
