ticker,MGEN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-06-18,-9.1
2014-06-19,-7.0407
2014-06-20,-1.0651
2014-06-23,-6.2201
2014-06-24,0.7653
2014-06-25,-5.6962
2014-06-26,-2.0134
2014-06-27,-1.7671000000000001
2014-06-30,-1.6856
2014-07-01,-6.1293
2014-07-02,5.9232
2014-07-03,5.4208
2014-07-07,-6.0893
2014-07-08,-9.223700000000001
2014-07-09,-4.1251
2014-07-10,-2.3096
2014-07-11,0.3305
2014-07-14,-10.1351
2014-07-15,7.5188
2014-07-16,-2.2727
2014-07-17,0.1789
2014-07-18,0.0
2014-07-21,0.0
2014-07-22,0.0033
2014-07-23,14.8176
2014-07-24,-0.9331
2014-07-25,-5.4945
2014-07-28,1.8272
2014-07-29,2.7406
2014-07-30,-4.8954
2014-07-31,-1.1635
2014-08-01,-6.9257
2014-08-04,-7.6225000000000005
2014-08-05,-6.4833
2014-08-06,-2.7311
2014-08-07,-6.0475
2014-08-08,3.4483
2014-08-11,-6.4444
2014-08-12,12.8266
2014-08-13,0.0
2014-08-14,3.1579
2014-08-15,6.1224
2014-08-18,7.0096
2014-08-19,-13.3435
2014-08-20,9.4955
2014-08-21,-0.3764
2014-08-22,-6.5138
2014-08-25,-3.8105
2014-08-26,-4.6512
2014-08-27,4.878
2014-08-28,-5.4968
2014-08-29,1.5659999999999998
2014-09-02,4.185
2014-09-03,-1.4799
2014-09-04,-1.7167
2014-09-05,-3.9301
2014-09-08,6.8182
2014-09-09,14.8936
2014-09-10,-3.3333
2014-09-11,-7.4713
2014-09-12,3.3125999999999998
2014-09-15,-1.6032
2014-09-16,-1.4257
2014-09-17,2.0661
2014-09-18,-5.0607
2014-09-19,-4.0512
2014-09-22,5.3333
2014-09-23,-2.9536
2014-09-24,2.6087
2014-09-25,1.0593
2014-09-26,-3.9832
2014-09-29,0.4476
2014-09-30,-2.1845
2014-10-01,11.1111
2014-10-02,-9.7975
2014-10-03,5.7149
2014-10-06,-5.6183
2014-10-07,0.0
2014-10-08,0.0028
2014-10-09,-0.0028
2014-10-10,-4.6667
2014-10-13,-6.5268
2014-10-14,-13.9682
2014-10-15,-5.7937
2014-10-16,3.3846
2014-10-17,2.6786
2014-10-20,-4.058
2014-10-22,2.4131
2014-10-23,-6.4862
2014-10-24,6.7035
2014-10-27,-2.1434
2014-10-28,1.2085
2014-10-29,-12.8358
2014-10-30,2.7397
2014-10-31,6.6667
2014-11-04,-9.375
2014-11-05,0.3448
