ticker,SIGN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-03-15,33.3333
2007-03-19,6.25
2007-03-20,0.0
2007-03-21,5.8824
2007-03-22,0.0
2007-03-23,11.1111
2007-03-27,-1.0
2007-03-28,12.1212
2007-03-29,8.1081
2007-04-03,16.6667
2007-04-04,7.8571
2007-04-05,15.894
2007-04-09,-34.2857
2007-04-11,0.0
2007-04-12,13.0435
2007-04-13,4.6154
2007-04-16,0.0
2007-04-17,3.6765
2007-04-19,2.8369
2007-04-23,-11.7241
2007-04-26,2.3438
2007-04-27,0.0
2007-04-30,18.3206
2007-05-01,0.0
2007-05-02,6.4516
2007-05-11,-6.0606
2007-05-14,32.2581
2007-05-15,-14.6341
2007-05-16,22.8571
2007-05-17,-18.6047
2007-05-21,0.0
2007-05-22,42.8571
2007-05-29,0.0
2007-06-11,-20.0
2007-06-13,62.5
2007-06-14,-7.6923
2007-06-15,-26.6667
2007-06-18,-9.0909
2007-06-20,-7.5
2007-06-21,35.1351
2007-06-25,0.0
2007-06-26,-30.0
2007-07-03,42.8571
2007-07-05,0.0
2007-07-06,0.0
2007-07-09,0.0
2007-07-31,6.0
2007-08-07,-5.6604
2007-08-08,0.0
2007-08-10,-10.0
2007-08-13,17.7778
2007-08-14,0.0
2007-08-20,-28.3019
2007-08-21,-7.8947
2007-08-31,48.5714
2007-09-04,-23.0769
2007-09-05,27.5
2007-09-11,3.9215999999999998
2007-09-12,-22.6415
2007-09-13,2.439
2007-09-17,0.0
2007-10-16,7.1429
2007-11-06,-6.6667
2007-11-07,0.0
2007-11-13,0.0
2007-11-14,0.0
2007-11-30,-40.4762
2007-12-06,-8.0
2007-12-12,-4.3478
2007-12-13,0.0
2007-12-14,-9.0909
2008-01-02,-45.0
2008-01-07,0.0
2008-01-16,0.0
2008-01-17,-7.2727
2008-02-22,-41.1765
2008-02-27,150.0
2008-03-18,-60.0
2008-03-28,0.0
2008-04-02,133.3333
2008-04-03,0.0
2008-04-07,0.0
2008-04-28,-57.1429
2008-05-01,0.0
2008-05-27,0.0
2008-09-03,0.0
2008-10-17,0.0
2008-11-07,0.0
2008-11-12,0.0
2009-01-15,70.0
2009-02-20,-68.6275
2009-03-31,0.0
2009-04-13,368.75
2009-04-14,166.6667
2009-04-15,150.0
2009-04-17,-60.0
2009-04-20,150.0
2009-04-21,120.0
2009-07-09,-91.2727
2009-07-10,0.0
2009-08-03,0.0
2009-08-10,108.3333
2009-08-11,-52.0
2009-08-12,108.3333
