ticker,ZI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-04,61.9048
2020-06-05,14.3824
2020-06-08,14.9139
2020-06-09,11.8819
2020-06-10,0.6
2020-06-11,-1.5905
2020-06-12,3.4747
2020-06-15,-2.4405
2020-06-16,-3.1619
2020-06-17,-10.0847
2020-06-18,5.1482
2020-06-19,-0.8306
2020-06-22,8.9046
2020-06-23,0.5464
2020-06-24,2.6167
2020-06-25,4.335
2020-06-26,-3.0457
2020-06-29,-1.6482
2020-06-30,0.6112
2020-07-01,-5.1538
2020-07-02,-6.9215
2020-07-06,2.0866
2020-07-07,-1.8481999999999998
2020-07-08,-1.9495
2020-07-09,0.9715
2020-07-10,-2.1929
2020-07-13,-7.7328
2020-07-14,-0.843
2020-07-15,-0.3501
2020-07-16,1.33
2020-07-17,1.9316
2020-07-20,3.207
2020-07-21,0.9887
2020-07-22,-2.8904
2020-07-23,-1.9203000000000001
2020-07-24,-3.1082
2020-07-27,3.9656000000000002
2020-07-28,0.9718
2020-07-29,-2.4783
2020-07-30,-0.1234
2020-07-31,0.9634
