ticker,SGTI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-04-10,152.5
2007-04-17,38.6139
2007-04-18,42.8571
2007-04-26,-25.0
2007-04-27,16.6667
2007-04-30,0.0
2007-05-04,0.0
2007-05-15,16.0
2007-05-16,10.8374
2007-05-22,33.3333
2007-05-23,100.0
2007-05-24,-24.8333
2007-05-25,5.3215
2007-05-30,5.2632
2007-05-31,5.0
2007-06-01,0.0
2007-06-04,-4.7619
2007-06-05,-10.0
2007-06-06,11.1111
2007-06-08,-20.0
2007-06-11,0.0
2007-06-13,12.5
2007-06-15,5.5556
2007-06-18,0.0
2007-06-19,-1.0526
2007-06-21,-4.2553
2007-06-25,0.0
2007-06-26,0.0
2007-06-29,5.5556
2007-07-02,-5.2632
2007-07-05,8.8889
2007-07-06,12.449
2007-07-09,-0.1815
2007-07-12,0.0
2007-07-17,-47.2727
2007-07-18,3.4483
2007-07-19,-8.3333
2007-07-20,-1.8182
2007-07-23,-3.3333
2007-07-24,-2.2989
2007-07-25,-3.9215999999999998
2007-07-26,2.0408
2007-07-27,18.0
2007-07-30,0.0
2007-07-31,-8.4746
2007-08-01,0.0
2007-08-03,-3.7037
2007-08-06,3.8462
2007-08-07,11.1111
2007-08-08,-6.6667
2007-08-10,7.1429
2007-08-13,-8.3333
2007-08-14,0.0
2007-08-15,-1.8182
2007-08-16,-7.4074
2007-08-17,6.0
2007-08-20,0.0
2007-08-21,0.0
2007-08-22,0.0
2007-08-24,0.0
2007-08-27,0.0
2007-08-28,-5.6604
2007-08-29,2.0
2007-08-30,0.0
2007-08-31,-1.9607999999999999
2007-09-04,0.0
2007-09-05,0.0
2007-09-07,0.0
2007-09-10,4.0
2007-09-11,1.9231
2007-09-12,-0.3774
2007-09-13,-1.5152
2007-09-14,1.9231
2007-09-17,-1.5093999999999999
2007-09-18,1.5326
2007-09-19,-1.5093999999999999
2007-09-20,1.5326
2007-09-21,0.0
2007-09-24,3.7736
2007-09-25,0.0
2007-09-26,3.6364
2007-09-27,0.0
2007-09-28,22.807
2007-10-01,12.857099999999999
2007-10-02,-1.2658
2007-10-03,-5.1282
2007-10-04,-1.3514
2007-10-05,6.8493
2007-10-08,2.8205
2007-10-09,1.4963
2007-10-10,-1.7199
2007-10-11,-2.5
2007-10-12,-2.0513
2007-10-15,3.4031000000000002
2007-10-16,-0.5063
2007-10-17,-0.7634
2007-10-18,2.5641
2007-10-19,0.0
2007-10-22,-1.75
2007-10-23,1.7812000000000001
2007-10-24,1.125
