ticker,OPOF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,5.1282
2000-01-05,-3.6585
2000-01-06,0.0
2000-01-07,3.7975
2000-01-10,-3.6585
2000-01-12,3.7975
2000-01-13,-3.6585
2000-01-18,3.7975
2000-01-19,-3.6585
2000-01-20,-3.7975
2000-01-24,0.0
2000-01-25,3.9474
2000-01-27,3.7975
2000-01-31,0.0
2000-02-01,-4.878
2000-02-09,2.5641
2000-02-11,2.5
2000-02-14,-2.439
2000-02-16,0.0
2000-02-22,0.0
2000-02-24,-15.0
2000-02-25,0.0
2000-02-28,2.9412000000000003
2000-02-29,-2.8571
2000-03-01,-8.8235
2000-03-02,12.9032
2000-03-03,-5.7143
2000-03-06,-6.0606
2000-03-08,4.8387
2000-03-16,10.7692
2000-03-17,9.7222
2000-03-20,-5.6962
2000-03-22,0.0
2000-03-23,4.698
2000-03-24,-2.5641
2000-03-29,7.8947
2000-04-05,-8.5366
2000-04-13,0.0
2000-04-24,5.3333
2000-04-25,0.0
2000-04-27,0.0
2000-04-28,1.2658
2000-05-05,-2.5
2000-05-11,2.5641
2000-05-15,-4.375
2000-05-17,0.6536
2000-05-24,-1.2987
2000-05-25,11.2632
2000-05-31,-9.5238
2000-06-07,10.526299999999999
2000-06-09,-9.5238
2000-06-16,0.0
2000-06-19,0.0
2000-06-27,0.0
2000-06-28,-0.9868
2000-06-29,3.6545
2000-07-03,-2.5641
2000-07-07,0.0
2000-07-10,0.0
2000-07-13,2.6316
2000-07-14,5.1282
2000-07-17,-3.6585
2000-07-19,0.0
2000-07-20,-2.5316
2000-07-25,1.2987
2000-07-27,1.2821
2000-07-31,-3.7975
2000-08-02,2.6316
2000-08-07,-1.2821
2000-08-08,-1.2987
2000-08-09,1.3158
2000-08-10,2.5974
2000-08-11,-3.7975
2000-08-17,-2.6316
2000-08-18,2.7027
2000-08-21,0.0
2000-08-22,0.0
2000-08-29,-4.5093
2000-08-30,5.5556
2000-09-08,0.0
2000-09-11,-5.2632
2000-09-12,0.0
2000-09-14,-2.7778
2000-09-15,5.7143
2000-09-18,-2.7027
2000-09-22,2.7778
2000-09-26,-1.3514
2000-09-27,-4.1096
2000-09-28,2.8571
2000-09-29,2.0833
2000-10-02,0.0
2000-10-03,2.0408
2000-10-04,-1.0
2000-10-06,0.3367
2000-10-10,-0.6711
2000-10-11,2.7027
2000-10-12,-2.6316
2000-10-17,0.0
2000-10-20,-8.1081
2000-10-23,2.9412000000000003
2000-10-24,-2.8571
