ticker,TCMD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-07-28,10.8
2016-07-29,1.6245
2016-08-01,7.1936
2016-08-02,9.0307
2016-08-03,3.7234
2016-08-04,-0.8791
2016-08-05,4.065
2016-08-08,-1.8466
2016-08-09,1.9537
2016-08-10,0.0
2016-08-11,-0.6388
2016-08-12,-0.8571
2016-08-15,-1.513
2016-08-16,-0.2195
2016-08-17,-1.393
2016-08-18,-1.487
2016-08-19,-0.1509
2016-08-22,-2.8723
2016-08-23,2.7237
2016-08-24,2.9545
2016-08-25,0.0736
2016-08-26,-0.2206
2016-08-29,1.4738
2016-08-30,-0.4357
2016-08-31,5.9628
2016-09-01,3.3901
2016-09-02,-0.9987
2016-09-06,1.3786
2016-09-07,5.2073
2016-09-08,1.5131999999999999
2016-09-09,-0.9317
2016-09-12,-1.8182
2016-09-13,5.6833
2016-09-14,9.3656
2016-09-15,3.0939
2016-09-16,4.6088000000000005
2016-09-19,-7.8893
2016-09-20,7.0634
2016-09-21,-0.4675
2016-09-22,0.2088
2016-09-23,5.1042
2016-09-26,-1.1397
2016-09-27,-5.0627
2016-09-28,1.056
2016-09-29,-8.5684
2016-09-30,6.8571
2016-10-03,-1.3369
2016-10-04,-1.6802000000000001
2016-10-05,4.9063
2016-10-06,-0.9984
2016-10-07,5.4671
2016-10-10,-1.4092
2016-10-11,-2.9096
2016-10-12,-2.9968
2016-10-13,3.1436
2016-10-14,-3.836
2016-10-17,4.4809
2016-10-18,-0.4707
2016-10-19,0.8408
2016-10-20,-1.0422
2016-10-21,-0.8425
2016-10-24,2.6553
2016-10-25,0.8795
2016-10-26,-4.0513
2016-10-27,-6.4671
2016-10-28,0.1143
2016-10-31,1.3984
2016-11-01,-2.3923
2016-11-02,1.3264
2016-11-03,-4.041
2016-11-04,2.9063
2016-11-07,1.268
2016-11-08,-3.0165
2016-11-09,0.8216
2016-11-10,6.4028
2016-11-11,1.1488
2016-11-14,-6.1655
2016-11-15,1.0951
2016-11-16,2.6226000000000003
2016-11-17,4.5
2016-11-18,-1.9139
2016-11-21,-0.5962
2016-11-22,-1.2541
2016-11-23,-6.2396
2016-11-25,-1.649
2016-11-28,-2.8144
2016-11-29,1.1091
2016-11-30,-0.4875
2016-12-01,-2.1433
2016-12-02,-5.6946
2016-12-05,-1.1280999999999999
2016-12-06,1.4094
2016-12-07,0.4633
2016-12-08,3.8867000000000003
2016-12-09,-3.1072
2016-12-12,0.1963
2016-12-13,4.3762
2016-12-14,-0.9387
