ticker,FBC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-11.2319
2000-01-04,-1.6327
2000-01-05,0.0
2000-01-06,2.9046
2000-01-07,-0.8065
2000-01-10,-0.813
2000-01-11,1.6393
2000-01-12,0.0
2000-01-13,1.6129
2000-01-14,0.0
2000-01-18,0.7937
2000-01-19,-1.9685000000000001
2000-01-20,-5.2209
2000-01-21,1.6949
2000-01-24,-1.25
2000-01-25,-4.6414
2000-01-26,-3.5398
2000-01-27,1.6514
2000-01-28,-0.9091
2000-01-31,3.211
2000-02-01,-0.8889
2000-02-02,0.4484
2000-02-03,0.4464
2000-02-04,1.3333
2000-02-07,-1.7544
2000-02-08,0.4464
2000-02-09,-1.3333
2000-02-10,-0.9009
2000-02-11,-3.1818
2000-02-14,-3.2864
2000-02-15,4.8544
2000-02-16,-1.8519
2000-02-17,0.0
2000-02-18,0.0
2000-02-22,-3.7736
2000-02-23,2.9412000000000003
2000-02-24,-0.9524
2000-02-25,-1.9231
2000-02-28,1.9607999999999999
2000-02-29,-0.9615
2000-03-01,-0.9709
2000-03-02,0.0
2000-03-03,-0.9804
2000-03-06,0.9901
2000-03-07,-1.9607999999999999
2000-03-08,1.0
2000-03-09,1.7327
2000-03-10,0.2433
2000-03-13,0.9709
2000-03-14,-3.3654
2000-03-15,2.4876
2000-03-16,1.4563
2000-03-17,-1.4354
2000-03-20,0.9709
2000-03-21,0.4808
2000-03-22,-0.4785
2000-03-23,0.0
2000-03-24,0.0
2000-03-27,0.0
2000-03-28,0.0
2000-03-29,0.0
2000-03-30,0.0
2000-03-31,0.0
2000-04-03,0.0
2000-04-04,0.4808
2000-04-05,0.0
2000-04-06,-0.9569
2000-04-07,0.4831
2000-04-10,-0.9615
2000-04-11,0.4854
2000-04-12,0.4831
2000-04-13,3.8462
2000-04-14,-6.4815
2000-04-17,1.9802
2000-04-18,3.8834999999999997
2000-04-19,4.6729
2000-04-20,-1.7856999999999998
2000-04-24,-5.0
2000-04-25,-0.9569
2000-04-26,0.7729
2000-04-27,0.9662
2000-04-28,3.3493
2000-05-01,-3.7037
2000-05-02,0.0
2000-05-03,-2.8846
2000-05-04,1.9802
2000-05-05,0.0
2000-05-08,0.9709
2000-05-09,-2.8846
2000-05-10,-0.495
2000-05-11,-2.4876
2000-05-12,-1.5306
2000-05-15,-2.0725
2000-05-16,1.0582
2000-05-17,1.0471
2000-05-18,-0.5181
2000-05-19,-2.0833
2000-05-22,-2.1277
2000-05-23,0.0
