ticker,ATSG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-07-24,50.0
2003-07-25,50.0
2003-07-28,-11.1111
2003-07-29,0.0
2003-07-30,29.1667
2003-07-31,12.9032
2003-08-01,1.7143000000000002
2003-08-04,-1.6854
2003-08-05,-13.7143
2003-08-06,-0.6623
2003-08-07,0.6667
2003-08-08,0.0
2003-08-11,5.9603
2003-08-12,12.5
2003-08-13,5.5556
2003-08-14,-7.8947
2003-08-15,-13.7143
2003-08-18,2.649
2003-08-19,5.8065
2003-08-20,6.7073
2003-08-21,2.8571
2003-08-22,2.2222
2003-08-25,5.9783
2003-08-26,1.0256
2003-08-27,11.6751
2003-08-28,11.3636
2003-08-29,-4.0816
2003-09-02,2.9787
2003-09-03,-4.5455
2003-09-04,7.7922
2003-09-05,-0.4016
2003-09-08,-3.629
2003-09-09,-5.4393
2003-09-10,-1.7699
2003-09-11,7.2072
2003-09-12,2.1008
2003-09-15,-1.2346
2003-09-16,-3.75
2003-09-17,9.5238
2003-09-18,7.9051
2003-09-19,-0.3663
2003-09-22,-4.7794
2003-09-23,3.4749
2003-09-24,-1.8657
2003-09-25,0.7605
2003-09-26,-2.2641999999999998
2003-09-29,-2.7027
2003-09-30,-1.5873
2003-10-01,0.0
2003-10-02,-1.2097
2003-10-03,4.4898
2003-10-06,0.0
2003-10-07,1.5625
2003-10-08,11.1538
2003-10-09,6.2284
2003-10-10,2.9316
2003-10-13,-2.5316
2003-10-14,7.1429
2003-10-15,8.7879
2003-10-16,0.0
2003-10-17,-3.0641
2003-10-20,0.0
2003-10-21,-2.5862
2003-10-22,-6.4897
2003-10-23,-3.7855
2003-10-24,1.6393
2003-10-27,8.0645
2003-10-28,2.0896
2003-10-29,-3.5088
2003-10-30,-2.7273
2003-10-31,9.0343
2003-11-03,4.2857
2003-11-04,0.0
2003-11-05,-10.137
2003-11-06,3.6585
2003-11-07,-2.6471
2003-11-10,-1.5106000000000002
2003-11-11,-2.454
2003-11-12,-0.3145
2003-11-13,-0.6309
2003-11-14,14.2857
2003-11-17,0.5556
2003-11-18,11.8785
2003-11-19,-3.7037
2003-11-20,-1.2821
2003-11-21,2.5974
2003-11-24,-1.2658
2003-11-25,-1.2821
2003-11-26,1.2987
2003-11-28,1.2821
2003-12-01,1.5190000000000001
2003-12-02,-3.2419000000000002
2003-12-03,0.0
2003-12-04,0.5155
2003-12-05,-2.5641
2003-12-08,-3.1579
2003-12-09,-1.6303999999999998
2003-12-10,-0.5525
