ticker,VIOT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-09-25,0.8889
2018-09-26,-8.5903
2018-09-27,8.4337
2018-09-28,0.0
2018-10-01,0.0
2018-10-02,-6.0
2018-10-03,6.383
2018-10-04,-5.3333
2018-10-05,-1.4085
2018-10-08,7.619
2018-10-09,-7.7434
2018-10-10,-0.1199
2018-10-11,-0.8403
2018-10-12,-0.1211
2018-10-15,1.4545
2018-10-16,0.4779
2018-10-17,0.4756
2018-10-18,-1.3018
2018-10-19,-2.3981
2018-10-22,2.7027
2018-10-23,-0.7177
2018-10-24,4.0964
2018-10-25,-0.463
2018-10-26,2.3256
2018-10-29,-0.3409
2018-10-30,2.6226000000000003
2018-10-31,-0.2222
2018-11-01,3.4521
2018-11-02,0.2153
2018-11-05,-2.0408
2018-11-06,1.4254
2018-11-07,0.4324
2018-11-08,-1.7223000000000002
2018-11-09,-1.9715
2018-11-12,-4.2458
2018-11-13,-0.1167
2018-11-14,3.8551
2018-11-15,-0.6749
2018-11-16,1.0193
2018-11-19,-0.7848
2018-11-20,-1.4689
2018-11-21,4.5872
2018-11-23,2.3026
2018-11-26,-6.2165
2018-11-27,0.5714
2018-11-28,0.1136
2018-11-29,-2.9512
2018-11-30,-3.6257
2018-12-03,-3.3981
2018-12-04,-5.402
2018-12-06,5.7105
2018-12-07,-1.3819
2018-12-10,2.4204
2018-12-11,-0.3731
2018-12-12,4.6192
2018-12-13,-1.1933
2018-12-14,-3.3816
2018-12-17,-2.75
2018-12-18,0.5141
2018-12-19,-0.2558
2018-12-20,0.1282
2018-12-21,-0.128
2018-12-24,-1.2821
2018-12-26,2.0779
2018-12-27,-0.6361
2018-12-28,0.5122
2018-12-31,-0.6369
2019-01-02,-1.2821
2019-01-03,-3.5065
2019-01-04,1.8843
2019-01-07,-1.321
2019-01-08,16.1981
2019-01-09,-9.1014
2019-01-10,1.1407
2019-01-11,-5.2632
2019-01-14,0.1323
2019-01-15,-0.1321
2019-01-16,0.3968
2019-01-17,0.9223
2019-01-18,-0.3916
2019-01-22,0.2621
2019-01-23,-1.9607999999999999
2019-01-24,1.6
2019-01-25,3.0184
2019-01-28,-2.6752000000000002
2019-01-29,1.5707
2019-01-30,-0.2577
2019-01-31,1.292
2019-02-01,0.0
2019-02-04,2.6786
2019-02-05,1.8634
2019-02-06,-1.4634
2019-02-07,-0.7426
2019-02-08,-1.3716
2019-02-11,0.0
2019-02-12,0.0
2019-02-13,2.402
2019-02-14,1.4815
2019-02-15,3.0414
