ticker,CESX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-01-23,47.0588
2014-01-24,86.6667
2014-01-27,35.7143
2014-01-28,15.7895
2014-01-29,4.5455
2014-01-30,-8.6957
2014-01-31,14.2857
2014-02-03,2.5
2014-02-04,-14.6341
2014-02-05,2.3810000000000002
2014-02-06,2.3256
2014-02-07,-18.1818
2014-02-10,-2.7778
2014-02-11,14.2857
2014-02-12,-15.0
2014-02-13,20.5882
2014-02-14,0.0
2014-02-20,0.0
2014-02-21,0.0
2014-02-24,-16.5854
2014-02-25,0.5848
2014-02-26,16.2791
2014-02-27,0.0
2014-03-07,2.0
2014-03-11,-25.9804
2014-03-12,-10.596
2014-03-21,11.1111
2014-03-24,33.3333
2014-03-25,2.5
2014-03-26,2.439
2014-03-27,14.2857
2014-03-28,4.1667
2014-03-31,-6.0
2014-04-01,15.3191
2014-04-02,-7.7491
2014-04-03,-4.8
2014-04-04,0.0
2014-04-07,-8.4034
2014-04-08,12.3853
2014-04-09,-6.1224
2014-04-10,2.1739
2014-04-11,1.2766
2014-04-14,-7.563
2014-04-15,-0.4545
2014-04-16,0.4566
2014-04-17,0.0
2014-04-21,0.0
2014-04-22,0.0
2014-04-23,0.0
2014-04-24,-4.5455
2014-04-28,3.8095
2014-04-29,3.211
2014-04-30,-0.4444
2014-05-01,-4.0179
2014-05-02,-2.3256
2014-05-05,-1.4285999999999999
2014-05-06,5.314
2014-05-07,2.7523
2014-05-08,0.8929
2014-05-09,-2.6549
2014-05-12,2.2727
2014-05-13,-0.4444
2014-05-14,1.7856999999999998
2014-05-15,-1.7544
2014-05-16,2.6786
2014-05-19,-0.4348
2014-05-20,0.4367
2014-05-21,-17.8261
2014-05-22,16.4021
2014-05-23,-4.0909
2014-05-27,1.8957000000000002
2014-05-28,-16.2791
2014-05-29,-5.5556
2014-05-30,0.0
2014-06-02,-25.8824
2014-06-03,-4.7619
2014-06-04,-12.5
2014-06-05,-5.7143
2014-06-06,0.9975
2014-06-10,-33.9917
2014-06-11,-4.5455
2014-06-12,-19.0476
2014-06-13,-3.9215999999999998
2014-06-16,-7.0408
2014-06-18,-18.7706
2014-06-19,8.1081
2014-06-20,37.5
2014-06-23,-41.8182
2014-06-24,-9.375
2014-06-25,-20.6897
2014-06-26,-13.0435
2014-06-27,25.0
2014-06-30,-4.0
2014-07-01,41.6667
2014-07-02,0.0
2014-07-03,47.0588
2014-07-07,8.0
2014-07-08,0.0
2014-07-09,27.7778
2014-07-10,8.6957
