ticker,ZUMZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-05-06,38.1667
2005-05-09,-1.4475
2005-05-10,-1.6728
2005-05-11,0.6224
2005-05-12,-3.0928
2005-05-13,-1.617
2005-05-16,0.1817
2005-05-17,7.2015
2005-05-18,1.1679
2005-05-19,2.3089
2005-05-20,-0.7782
2005-05-23,1.1373
2005-05-24,-0.1551
2005-05-25,-2.6408
2005-05-26,0.9174
2005-05-27,0.3953
2005-05-31,0.9055
2005-06-01,1.4436
2005-06-02,4.2308
2005-06-03,1.9188
2005-06-06,1.9912999999999998
2005-06-07,2.0589
2005-06-08,-2.6087
2005-06-09,-2.3929
2005-06-10,0.2561
2005-06-13,-0.3285
2005-06-14,-0.5492
2005-06-15,9.8675
2005-06-16,1.5415999999999999
2005-06-17,-0.165
2005-06-20,-3.5702
2005-06-21,2.674
2005-06-22,0.0334
2005-06-23,1.6355
2005-06-24,-1.2151
2005-06-27,-0.0997
2005-06-28,0.7321
2005-06-29,0.9911
2005-06-30,-4.6451
2005-07-01,-0.1029
2005-07-05,2.5069
2005-07-06,3.6851000000000003
2005-07-07,0.2585
2005-07-08,1.0635
2005-07-11,-0.574
2005-07-12,0.0641
2005-07-13,3.1731
2005-07-14,1.895
2005-07-15,1.0671
2005-07-18,0.181
2005-07-19,0.9636
2005-07-20,1.4017
2005-07-21,-0.5
2005-07-22,0.8572
2005-07-25,0.0586
2005-07-26,-1.5817
2005-07-27,0.744
2005-07-28,1.5657
2005-07-29,-0.5236
2005-08-01,0.7895
2005-08-02,-1.8567
2005-08-03,2.8377
2005-08-04,-3.3343
2005-08-05,-3.4493
2005-08-08,-3.1722
2005-08-09,-0.6043
2005-08-10,-0.8
2005-08-11,-5.0968
2005-08-12,7.8518
2005-08-15,1.1976
2005-08-16,-4.142
2005-08-17,-2.5341
2005-08-18,3.0
2005-08-19,0.4531
2005-08-22,1.2274
2005-08-23,0.0286
2005-08-24,0.1273
2005-08-25,5.1478
2005-08-26,-0.816
2005-08-29,-0.5484
2005-08-30,-2.5735
2005-08-31,3.7107
2005-09-01,-1.9405999999999999
2005-09-02,1.2678
2005-09-06,3.5115
2005-09-07,-1.2684
2005-09-08,0.0598
2005-09-09,0.7764
2005-09-12,0.7407
2005-09-13,0.4412
2005-09-14,-0.7028
2005-09-15,-3.6567
2005-09-16,-3.0915
2005-09-19,-4.5799
2005-09-20,-3.3764
2005-09-21,-1.7128999999999999
2005-09-22,2.8233
2005-09-23,1.8643999999999998
