ticker,LDKB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-06-18,0.0
2003-07-22,0.0
2003-10-08,0.0
2003-10-21,0.0
2004-03-10,0.0
2004-03-30,0.0
2004-04-05,2.2727
2004-09-21,-2.2222
2005-01-05,3.6364
2005-01-07,-0.4386
2005-02-28,0.4405
2005-04-06,0.0
2005-05-17,0.0
2005-08-15,-1.3158
2005-08-30,4.4444
2005-09-08,0.0
2005-09-12,0.0
2005-11-01,0.0
2005-11-07,0.0
2005-11-16,0.0
2005-12-23,0.0
2006-02-07,0.0
2006-03-06,-2.1277
2006-03-10,2.1739
2006-03-24,0.0
2006-03-29,0.0
2006-04-12,-4.2553
2006-04-18,4.4444
2006-04-27,-4.2553
2006-05-03,-2.2222
2006-05-08,0.0
2006-06-16,-4.5455
2006-07-05,0.0
2006-08-10,-4.7619
2006-09-01,0.0
2006-10-04,0.0
2006-10-24,-5.0
2006-12-15,-5.2632
2007-02-27,23.3333
2007-03-13,-5.4054
2007-03-14,5.7143
2007-03-15,0.0
2007-03-16,0.0
2007-03-20,0.0
2007-03-22,-0.9009
2007-03-27,0.9091
2007-04-16,1.3514
2007-04-17,-1.3333
2007-04-19,0.0
2007-08-09,-5.3153
2007-10-01,13.7012
2007-10-08,0.4184
2007-10-10,0.0
2007-10-12,-4.1667
2007-10-15,4.3478
2007-10-24,-12.4167
2007-10-26,-0.0951
2007-12-10,-9.5238
2008-01-04,6.3158
2008-01-08,-0.198
2008-01-17,-5.754
2008-01-23,0.0
2008-03-19,5.2632
2008-04-08,2.5
2008-04-14,2.439
2008-04-17,0.0
2008-08-19,0.0
2008-08-22,-4.7619
2008-09-08,0.0
2008-09-23,5.0
2008-11-03,-33.3333
2009-07-09,42.8571
2009-07-16,0.0
2009-07-27,0.0
2009-07-29,0.0
2009-08-19,0.0
2009-08-31,0.0
2009-09-01,0.0
2009-09-21,0.0
2009-10-05,0.0
2009-11-24,0.0
2010-03-03,0.0
2010-03-04,2.5
2010-04-09,12.1951
2010-06-11,-21.7391
2010-06-14,-11.1111
2010-06-16,7.5
2010-06-23,8.1395
2010-06-29,2.1505
2010-08-11,0.0
2010-08-26,-7.8947
2010-08-31,8.5714
2010-09-08,0.0
2010-10-12,0.0
2010-10-25,0.0
2010-12-02,0.0
2010-12-14,0.0
2011-05-19,13.8298
2011-05-20,7.4766
2011-05-24,4.3478
2011-06-10,0.0
2011-07-15,0.0
2011-09-02,25.523
2011-09-06,0.0
2011-09-12,-16.6667
