ticker,MOGIF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-06-12,-37.9116
2002-11-22,-12.1212
2003-02-27,39.5905
2003-03-04,3.7517
2003-03-07,0.0
2003-03-18,-1.1905000000000001
2003-03-24,-4.8193
2003-08-14,-19.2405
2003-09-19,36.3636
2003-10-01,-2.2989
2003-10-02,2.3529
2003-11-13,-1.1494
2003-11-18,-10.4651
2003-12-05,-7.7922
2003-12-22,22.5352
2004-01-06,-3.4483
2004-01-09,2.3363
2004-01-23,11.6766
2004-01-27,-6.25
2004-02-10,5.5556
2004-04-14,-3.1579
2004-04-16,2.1739
2004-04-19,5.3191
2004-04-20,7.0707
2004-04-21,0.0
2004-04-22,0.0
2004-04-27,13.2075
2004-05-03,-0.8333
2004-05-05,-5.042
2004-05-12,-7.9646
2004-05-17,-3.8462
2004-05-19,-4.5
2004-05-21,10.9948
2004-05-25,-7.5472
2004-06-04,-11.2245
2004-06-07,-3.4483
2004-06-09,16.6667
2004-06-17,-1.0204
2004-06-23,-9.0335
2004-07-28,-9.3356
2004-08-09,10.0
2004-08-10,-4.5455
2004-08-31,0.0
2004-09-08,-2.3810000000000002
2004-10-25,-7.3171
2004-11-04,-1.3158
2004-11-10,6.6667
2004-11-12,4.75
2004-12-13,-10.5907
2004-12-17,-1.2346
2005-02-07,6.2162
2005-03-22,-5.8524
2005-05-06,5.4054
2005-05-31,0.0
2005-09-01,8.9744
2005-09-28,-2.3529
2005-10-11,-1.6867
2005-10-12,-0.4902
2005-10-14,-3.9409
2005-10-25,-1.2821
2005-10-28,7.7922
2005-11-03,6.0241
2005-11-07,6.8182
2005-11-08,6.383
2005-11-09,10.0
2005-11-10,0.0
2005-11-11,1.8182
2005-11-14,2.6786
2005-11-15,-0.3478
2005-11-17,-0.5236
2005-11-18,1.0526
2005-11-21,2.2569
2005-11-22,1.8676
2005-11-23,10.8333
2005-11-25,-2.7068
2005-11-28,0.4637
2005-11-29,0.0
2005-11-30,0.0
2005-12-01,3.0769
2005-12-05,0.0
2005-12-06,5.9701
2005-12-07,0.0
2005-12-08,2.1127
2005-12-09,-0.6897
2005-12-12,0.0868
2005-12-13,-8.4128
2005-12-15,22.7273
2005-12-16,-2.4691
2005-12-19,-1.2658
2005-12-20,0.0
2005-12-21,-3.2051
2005-12-22,-1.3245
2005-12-23,0.0
2005-12-28,6.7114
2005-12-29,-1.8868
2006-01-03,-3.8462
2006-01-04,0.0
2006-01-05,2.6667
2006-01-06,-1.9481000000000002
