ticker,SOGFF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-09-29,-97.947
2005-10-17,9.6774
2005-10-18,-5.8824
2005-10-21,-9.375
2005-10-25,2.5431
2005-10-27,14.3338
2005-11-02,2.9412000000000003
2005-11-04,0.0
2005-11-23,14.2857
2005-12-08,-25.2813
2005-12-14,5.0188
2005-12-22,17.8813
2006-01-13,50.0
2006-01-17,4.5045
2006-01-18,-6.8966
2006-01-24,5.9954
2006-01-31,0.6552
2006-02-21,7.0948
2006-02-24,5.3485
2006-02-28,5.3846
2006-03-03,4.3796
2006-03-07,-3.9859999999999998
2006-03-13,-0.9468
2006-03-15,34.5588
2006-03-16,14.207699999999999
2006-03-17,2.3923
2006-03-21,9.3458
2006-03-24,13.6752
2006-03-29,9.0226
2006-03-31,0.0
2006-04-10,-1.7241
2006-05-03,0.4123
2006-05-08,6.9276
2006-05-12,12.0915
2006-05-19,-12.5364
2006-05-25,4.0
2006-05-26,0.0
2006-05-30,4.8077
2006-06-05,2.7523
2006-06-07,-12.9167
2006-06-12,-7.3821
2006-06-14,-9.2251
2006-06-19,16.748
2006-06-27,-11.5599
2006-06-28,6.2992
2006-06-29,0.0
2006-06-30,8.8241
2006-07-05,1.7612999999999999
2006-07-06,2.8094
2006-07-10,-4.4893
2006-07-12,-4.6322
2006-07-14,7.1429
2006-07-17,5.0
2006-07-18,5.0159
2006-07-24,11.8501
2006-07-27,-8.6486
2006-07-28,-9.1716
2006-08-01,10.1832
2006-08-03,2.5831
2006-08-04,-0.3638
2006-08-08,-2.4115
2006-08-09,-1.8969
2006-08-16,8.7613
2006-08-17,0.0
2006-08-22,-1.3715
2006-09-01,-7.9035
2006-09-14,-5.7378
2006-09-22,-3.5808
2006-09-26,-17.3074
2006-10-10,-21.1841
2006-10-11,-13.0743
2006-10-17,-2.5984
2006-10-19,14.6341
2006-10-26,-4.6676
2006-11-01,0.3417
2006-11-03,-5.4355
2006-11-06,16.4278
2006-11-27,-13.6364
2006-12-01,0.5848
2006-12-04,10.0727
2006-12-07,-7.0382
2006-12-08,4.5455
2006-12-11,-4.3478
2007-02-09,-16.2926
2007-02-14,20.6856
2007-02-15,5.5118
2007-02-16,0.533
2007-02-22,-0.7423
2007-02-23,-13.0342
2007-03-05,-2.1268
2007-03-09,-5.6091999999999995
2007-03-15,-4.8370999999999995
2007-03-16,-8.4716
2007-03-19,17.7672
2007-03-20,-12.7694
2007-03-23,3.8362
2007-03-29,-8.3997
2007-04-20,4.6875
