ticker,XPEL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-10-19,6.044
2006-10-25,-4.6632
2006-10-27,0.0
2006-10-30,-5.4348
2006-10-31,-5.1724
2006-11-01,3.0303
2006-11-02,0.1765
2006-11-06,-3.1122
2006-11-07,2.4242
2006-11-08,6.6272
2006-11-09,-5.4939
2006-11-10,4.5214
2006-11-13,1.1236
2006-11-14,-2.7778
2006-11-16,3.4286
2006-11-20,4.4199
2006-11-22,5.291
2006-11-27,0.5025
2006-11-28,-1.0
2006-11-29,-11.6162
2006-12-01,17.1429
2006-12-05,-2.6829
2006-12-08,8.2707
2006-12-11,-5.0926
2006-12-12,-10.2439
2006-12-13,-2.1739
2006-12-14,-0.2778
2006-12-19,6.1281
2006-12-29,1.8373
2007-01-03,6.1856
2007-01-11,-12.6214
2007-01-12,-2.7778
2007-01-17,9.7143
2007-01-18,-9.375
2007-01-19,1.1494
2007-01-23,11.3636
2007-01-24,-8.1633
2007-01-25,6.1111
2007-01-26,2.0942
2007-01-29,-1.5385
2007-01-30,-0.5208
2007-01-31,-1.0471
2007-02-01,2.6455
2007-02-02,0.0
2007-02-05,1.5464
2007-02-06,4.0609
2007-02-07,-2.9268
2007-02-08,0.5025
2007-02-09,0.0
2007-02-13,0.75
2007-02-14,-1.2407
2007-02-16,0.0
2007-02-20,0.0
2007-02-22,0.0
2007-02-23,0.0
2007-02-26,0.0
2007-02-27,1.2563
2007-02-28,-1.2407
2007-03-02,9.0452
2007-03-09,-8.2949
2007-03-12,-2.0101
2007-03-13,2.5641
2007-03-15,-4.5
2007-03-16,-3.4031000000000002
2007-03-19,1.355
2007-03-20,5.3476
2007-03-28,-5.5838
2007-03-29,-9.1398
2007-03-30,-2.9586
2007-04-02,7.3171
2007-04-03,-0.5682
2007-04-05,6.2857
2007-04-12,-6.4516
2007-04-13,1.1494
2007-04-16,-3.4091
2007-04-17,0.5882
2007-04-18,1.7544
2007-04-19,0.5747
2007-04-27,-2.2857
2007-04-30,8.7719
2007-05-01,2.1505
2007-05-02,5.2632
2007-05-03,-3.0
2007-05-08,-2.5773
2007-05-11,2.6455
2007-05-14,0.5155
2007-05-15,2.0513
2007-05-16,5.0251
2007-05-17,-0.4785
2007-05-22,0.7212
2007-05-23,-1.1933
2007-05-24,6.2802
2007-05-25,-3.6364
2007-05-29,10.8491
2007-05-31,-1.2766
2007-06-04,-5.6034
2007-06-06,0.9132
2007-06-11,-7.0136
2007-06-15,2.1898
2007-06-18,0.0
