ticker,IPLB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-02-24,-12.3077
2006-02-27,7.0175
2006-02-28,9.8361
2006-03-01,0.0
2006-03-02,1.4925
2006-03-03,4.4118
2006-03-06,1.4085
2006-03-07,-4.1667
2006-03-08,-1.4493
2006-03-09,1.4706000000000001
2006-03-10,0.0
2006-03-13,-5.7971
2006-03-14,3.0769
2006-03-15,4.4776
2006-03-16,10.0
2006-03-17,-3.8961
2006-03-20,-4.0541
2006-03-21,1.4085
2006-03-22,-5.5556
2006-03-23,2.9412000000000003
2006-03-24,4.2857
2006-03-27,-4.1096
2006-03-28,0.0
2006-03-29,2.8571
2006-03-30,-5.5556
2006-03-31,-2.9412000000000003
2006-04-03,6.0606
2006-04-04,-7.1429
2006-04-05,0.0
2006-04-10,7.6923
2006-04-11,4.2857
2006-04-12,25.3425
2006-04-13,-4.918
2006-04-17,6.8966
2006-04-18,-11.828
2006-04-19,3.6585
2006-04-20,1.1764999999999999
2006-04-21,-3.4884
2006-04-24,0.0
2006-04-25,7.2289
2006-04-26,0.0
2006-04-27,-8.9888
2006-04-28,2.4691
2006-05-01,5.4217
2006-05-02,-6.2857
2006-05-03,0.0
2006-05-04,-5.8537
2006-05-05,-0.2591
2006-05-08,7.1429
2006-05-09,-10.303
2006-05-11,14.8649
2006-05-12,0.0
2006-05-15,-5.8824
2006-05-16,-8.75
2006-05-17,-1.3699
2006-05-18,0.0
2006-05-19,-5.5556
2006-05-23,1.4706000000000001
2006-05-24,-5.7971
2006-05-26,7.6923
2006-05-30,0.0
2006-05-31,1.4285999999999999
2006-06-01,12.6761
2006-06-02,12.5
2006-06-05,1.1111
2006-06-06,-3.2967
2006-06-07,1.1364
2006-06-08,-16.8539
2006-06-09,0.0
2006-06-12,-6.7568
2006-06-13,1.4493
2006-06-14,-0.7143
2006-06-15,-2.1583
2006-06-16,1.4706000000000001
2006-06-19,-1.4493
2006-06-20,-1.4706000000000001
2006-06-21,4.4776
2006-06-22,1.4285999999999999
2006-06-27,-1.4085
2006-06-28,0.7143
2006-06-29,-4.9645
2006-06-30,7.4627
2006-07-05,0.0
2006-07-06,4.1667
2006-07-07,0.0
2006-07-10,5.3333
2006-07-11,0.0
2006-07-12,3.1646
2006-07-13,1.8405
2006-07-14,8.4337
2006-07-17,0.0
2006-07-18,10.0
2006-07-19,-4.0404
2006-07-20,-4.2105
2006-07-21,-2.1978
2006-07-24,1.1236
2006-07-25,1.1111
2006-07-26,4.3956
2006-07-27,3.1579
