ticker,AWON US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-08-03,4.3478
2012-08-06,0.0
2012-08-07,4.1667
2012-08-08,6.6667
2012-08-09,2.5
2012-08-10,1.2195
2012-08-13,1.2048
2012-08-14,1.1905000000000001
2012-08-15,1.1764999999999999
2012-08-16,2.3256
2012-08-17,1.1364
2012-08-20,3.3708
2012-08-21,2.1739
2012-08-22,1.9149
2012-08-23,2.2965
2012-08-24,2.0408
2012-08-27,1.8
2012-08-28,2.1611
2012-08-29,1.9231
2012-08-30,0.9434
2012-08-31,0.9346
2012-09-04,0.9259
2012-09-05,0.9174
2012-09-06,0.9091
2012-09-07,0.9009
2012-09-10,0.8929
2012-09-11,0.885
2012-09-12,1.7544
2012-09-13,0.8621
2012-09-14,2.5641
2012-09-17,0.8333
2012-09-18,0.8264
2012-09-19,0.8197
2012-09-20,0.813
2012-09-21,0.0
2012-09-24,0.8065
2012-09-25,0.8
2012-09-26,2.3810000000000002
2012-09-27,0.0
2012-09-28,2.3256
2012-10-01,2.2727
2012-10-02,0.0
2012-10-03,0.0
2012-10-04,2.2222
2012-10-05,0.0
2012-10-08,0.0
2012-10-09,-2.1739
2012-10-10,2.2222
2012-10-11,0.0
2012-10-12,2.1739
2012-10-15,0.0
2012-10-16,0.0
2012-10-17,0.0
2012-10-18,0.0
2012-10-19,4.2553
2012-10-22,4.0816
2012-10-23,1.9607999999999999
2012-10-24,0.9615
2012-10-25,0.5714
2012-10-26,-4.3561
2012-10-31,5.5446
2012-11-01,-0.5629
2012-11-02,1.8868
2012-11-05,0.0
2012-11-06,-3.7037
2012-11-07,2.8846
2012-11-08,2.8037
2012-11-09,0.0
2012-11-12,-7.2727
2012-11-13,3.9215999999999998
2012-11-14,5.6604
2012-11-15,0.0
2012-11-16,0.0
2012-11-19,-8.9286
2012-11-20,3.9215999999999998
2012-11-21,-1.8868
2012-11-23,7.6923
2012-11-27,0.0
2012-11-28,-0.8929
2012-11-29,0.9009
2012-11-30,1.7856999999999998
2012-12-03,0.8772
2012-12-04,-0.8696
2012-12-05,1.7544
2012-12-06,0.0
2012-12-07,0.0
2012-12-10,0.0
2012-12-11,0.0
2012-12-12,0.8621
2012-12-13,0.6838
2012-12-14,1.3582
2012-12-17,0.5025
2012-12-18,0.0
2012-12-19,-1.6667
2012-12-20,3.3898
2012-12-21,0.0
2012-12-24,1.6393
2012-12-26,0.8065
2012-12-27,0.0
2012-12-28,0.8
2012-12-31,1.5873
2013-01-02,0.0
