ticker,ALLE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-11-19,-5.5183
2013-11-20,-2.5109
2013-11-21,-1.9261
2013-11-22,0.4567
2013-11-25,0.4319
2013-11-26,-2.2182
2013-11-27,0.0926
2013-11-29,0.0
2013-12-02,-0.2313
2013-12-03,-0.5563
2013-12-04,-2.4942
2013-12-05,-1.8647
2013-12-06,-0.8526
2013-12-09,1.1794
2013-12-10,3.3511
2013-12-11,-0.235
2013-12-12,1.2011
2013-12-13,0.6516
2013-12-16,1.0173
2013-12-17,0.1373
2013-12-18,1.1886
2013-12-19,0.4066
2013-12-20,-0.4274
2013-12-23,0.8812
2013-12-24,-0.1568
2013-12-26,0.2692
2013-12-27,-0.1342
2013-12-30,-1.1649
2013-12-31,0.1587
2014-01-02,-1.222
2014-01-03,0.7102
2014-01-06,-0.6369
2014-01-07,0.435
2014-01-08,0.0228
2014-01-09,0.5697
2014-01-10,3.6257
2014-01-13,2.8646000000000003
2014-01-14,1.6156000000000001
2014-01-15,-0.6276
2014-01-16,-0.2105
2014-01-17,1.2658
2014-01-21,0.3542
2014-01-22,0.7058
2014-01-23,-1.6284999999999998
2014-01-24,-1.8441
2014-01-27,-0.5124
2014-01-28,2.4249
2014-01-29,0.1048
2014-01-30,3.4324
2014-01-31,-0.1416
2014-02-03,-3.8703
2014-02-04,1.2858
2014-02-05,-0.9365
2014-02-06,3.4454000000000002
2014-02-07,1.4216
2014-02-10,-0.2002
2014-02-11,0.1003
2014-02-12,0.2205
2014-02-13,0.24
2014-02-14,-0.9777
2014-02-18,0.9672
2014-02-19,-1.8958
2014-02-20,4.8007
2014-02-21,1.6498
2014-02-24,0.9357
2014-02-25,3.216
2014-02-26,0.1833
2014-02-27,1.2623
2014-02-28,-1.8067
2014-03-03,-1.5823
2014-03-04,0.9534
2014-03-05,-0.0926
2014-03-06,-1.4087
2014-03-07,0.376
2014-03-10,-0.1873
2014-03-11,2.2706
2014-03-12,-0.4037
2014-03-13,-1.1054
2014-03-14,-0.5597
2014-03-17,-0.6379
2014-03-18,0.6042
2014-03-19,0.0
2014-03-20,1.6703999999999999
2014-03-21,-0.6646
2014-03-24,-0.6319
2014-03-25,-0.4863
2014-03-26,-2.1988
2014-03-27,-1.1337
2014-03-28,1.38
2014-03-31,0.0192
2014-04-01,3.3544
2014-04-02,1.3909
2014-04-03,0.5122
2014-04-04,-2.2202
2014-04-07,-3.927
2014-04-08,-0.4068
2014-04-09,0.1751
2014-04-10,-1.5922
