ticker,HURN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-10-13,21.9355
2004-10-14,3.7037
2004-10-15,-2.551
2004-10-18,0.7853
2004-10-19,-0.2597
2004-10-20,0.0521
2004-10-21,1.0932
2004-10-22,-0.6179
2004-10-25,0.2591
2004-10-26,3.7622999999999998
2004-10-27,4.5921
2004-10-28,-4.1429
2004-10-29,-3.1297
2004-11-01,0.2564
2004-11-02,-0.3069
2004-11-03,0.5131
2004-11-04,1.072
2004-11-05,1.0101
2004-11-08,-0.4
2004-11-09,-4.6185
2004-11-10,2.6316
2004-11-11,2.0513
2004-11-12,-3.2663
2004-11-15,-0.6753
2004-11-16,3.7657
2004-11-17,1.3105
2004-11-18,1.7412999999999998
2004-11-19,2.7873
2004-11-22,-4.6622
2004-11-23,-1.0977999999999999
2004-11-24,1.2109
2004-11-26,-1.0967
2004-11-29,2.9234
2004-11-30,3.5749
2004-12-01,6.1466
2004-12-02,1.1581
2004-12-03,5.4601
2004-12-06,-1.1273
2004-12-07,-9.1216
2004-12-08,1.0688
2004-12-09,0.5517
2004-12-10,-0.5487
2004-12-13,-0.6897
2004-12-14,0.9722
2004-12-15,0.8712
2004-12-16,2.2727
2004-12-17,-2.7556000000000003
2004-12-20,1.3254000000000001
2004-12-21,-1.8042
2004-12-22,-3.537
2004-12-23,0.7619
2004-12-27,1.465
2004-12-28,1.9096
2004-12-29,-2.5137
2004-12-30,-1.2658
2004-12-31,5.4131
2005-01-03,-4.0541
2005-01-04,0.5164
2005-01-05,1.121
2005-01-06,-1.3857
2005-01-07,0.3747
2005-01-10,-0.0933
2005-01-11,-0.3737
2005-01-12,5.7196
2005-01-13,-2.9268
2005-01-14,5.8474
2005-01-18,4.0095
2005-01-19,-0.9502
2005-01-20,-0.5027
2005-01-21,1.8947
2005-01-24,-0.8264
2005-01-25,2.0833
2005-01-26,4.3265
2005-01-27,-2.6995
2005-01-28,-2.493
2005-01-31,-2.7216
2005-02-01,1.1022
2005-02-02,-1.0901
2005-02-03,-0.5087
2005-02-04,0.4687
2005-02-07,-0.3393
2005-02-08,-1.617
2005-02-09,-1.5571000000000002
2005-02-10,2.0211
2005-02-11,5.9001
2005-02-14,-0.7727
2005-02-15,-3.9344
2005-02-16,4.5222
2005-02-17,-2.4082
2005-02-18,-6.9009
2005-02-22,-1.7969
2005-02-23,5.8554
2005-02-24,1.6421999999999999
2005-02-25,-0.5952
2005-02-28,-4.1916
2005-03-01,4.0179
2005-03-02,-2.3176
