ticker,CLRB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-06-15,-10.2041
2005-06-16,-2.2727
2005-06-17,2.3256
2005-06-20,5.0
2005-06-21,19.0476
2005-06-22,-12.7273
2005-06-23,-2.0833
2005-06-24,-3.4043
2005-06-27,-3.0837
2005-06-28,9.0909
2005-06-30,-6.25
2005-07-01,-2.2222
2005-07-05,0.0
2005-07-06,6.8182
2005-07-07,0.0
2005-07-08,0.0
2005-07-11,4.2553
2005-07-12,-2.0408
2005-07-13,0.0
2005-07-14,-2.0833
2005-07-15,6.383
2005-07-18,-12.0
2005-07-19,-1.8182
2005-07-20,0.9259
2005-07-22,0.0
2005-07-26,14.6789
2005-07-27,5.2
2005-07-28,25.4753
2005-07-29,-4.5455
2005-08-01,0.6349
2005-08-02,11.987400000000001
2005-08-03,1.9718
2005-08-04,-3.0387
2005-08-05,3.7037
2005-08-08,8.7912
2005-08-09,2.7778
2005-08-10,-4.1769
2005-08-11,10.2564
2005-08-12,3.9535
2005-08-15,-4.9216999999999995
2005-08-16,-4.7059
2005-08-17,1.2346
2005-08-18,-1.2195
2005-08-19,3.7037
2005-08-22,-3.5714
2005-08-23,-2.4691
2005-08-24,-1.2658
2005-08-25,-5.1282
2005-08-26,-4.0541
2005-08-29,4.2254
2005-08-30,0.0
2005-08-31,0.0
2005-09-01,-1.3514
2005-09-02,-9.589
2005-09-06,-1.5152
2005-09-07,15.0769
2005-09-08,6.9519
2005-09-09,4.75
2005-09-12,-0.9547
2005-09-13,-0.9639
2005-09-14,-0.7299
2005-09-15,-4.4118
2005-09-16,2.5641
2005-09-19,-4.0
2005-09-20,-1.0417
2005-09-21,-5.2632
2005-09-22,1.3889
2005-09-23,1.3699
2005-09-26,-7.8378
2005-09-27,-5.5718
2005-09-28,4.0373
2005-09-29,-2.0896
2005-09-30,6.7073
2005-10-03,-7.1429
2005-10-04,1.5385
2005-10-05,-9.0909
2005-10-06,-5.0
2005-10-07,9.1228
2005-10-10,-14.791
2005-10-11,-12.4528
2005-10-12,-1.2931
2005-10-13,-1.7467000000000001
2005-10-14,11.1111
2005-10-17,-0.8
2005-10-18,-3.2258
2005-10-19,-0.4167
2005-10-20,4.6025
2005-10-21,8.0
2005-10-24,0.0
2005-10-25,-3.7037
2005-10-26,-1.9231
2005-10-28,-1.9607999999999999
2005-10-31,26.0
2005-11-01,-4.7619
2005-11-02,1.6667
2005-11-03,-1.3115
2005-11-04,2.99
2005-11-07,3.2258
2005-11-08,-6.25
