ticker,APRO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-11-30,-21.4286
2007-12-03,-8.1818
2007-12-12,-5.9406
2007-12-17,9.473700000000001
2007-12-18,-2.8846
2007-12-19,2.4752
2007-12-20,-8.2126
2007-12-21,0.0
2007-12-24,0.0
2007-12-26,0.0
2007-12-27,6.3158
2007-12-31,-5.9406
2008-01-02,0.0
2008-01-18,2.1053
2008-01-23,-2.0619
2008-01-24,0.0
2008-02-26,-68.4211
2008-03-05,0.0
2008-03-12,10.0
2008-03-13,6.0606
2008-03-17,0.0
2008-03-18,0.0
2008-03-19,8.5714
2008-03-26,2.6316
2008-04-01,-2.5641
2008-04-03,-21.0526
2008-04-04,-16.6667
2008-04-09,-40.0
2008-04-14,0.0
2008-04-15,33.3333
2008-04-16,0.0
2008-04-21,0.0
2008-04-28,-35.0
2008-04-30,92.3077
2008-05-01,-60.0
2008-05-02,10.0
2008-05-05,13.6364
2008-05-06,4.0
2008-05-07,3.8462
2008-05-08,-11.1111
2008-05-09,-12.5
2008-05-12,4.7619
2008-05-13,0.0
2008-05-14,9.0909
2008-05-15,0.0
2008-05-16,8.3333
2008-05-19,-7.6923
2008-05-20,0.0
2008-05-21,8.3333
2008-05-22,0.0
2008-05-27,-23.0769
2008-05-29,20.0
2008-05-30,0.0
2008-06-02,-4.1667
2008-06-03,-13.0435
2008-06-04,30.0
2008-06-09,-23.0769
2008-06-10,0.0
2008-06-12,0.0
2008-06-13,0.0
2008-06-16,0.0
2008-06-17,11.0
2008-06-19,-9.9099
2008-06-20,0.0
2008-06-24,30.0
2008-06-25,-23.0769
2008-06-26,-30.0
2008-06-27,28.5714
2008-06-30,11.1111
2008-07-01,0.0
2008-07-02,0.0
2008-07-07,-20.0
2008-07-08,-12.5
2008-07-10,-14.2857
2008-07-11,-8.3333
2008-07-14,0.0
2008-07-15,18.1818
2008-07-21,-15.3846
2008-07-22,-27.2727
2008-07-23,0.0
2008-07-25,-12.5
2008-07-28,0.0
2008-07-29,-14.2857
2008-07-30,-33.3333
2008-07-31,50.0
2008-08-01,0.0
2008-08-04,0.0
2008-08-05,-16.6667
2008-08-07,-60.0
2008-08-08,250.0
2008-08-11,-28.5714
2008-08-13,-20.0
2008-08-14,-25.0
2008-08-15,-33.3333
2008-08-18,0.0
2008-08-19,100.0
2008-08-20,0.0
2008-08-21,-45.0
2008-08-25,18.1818
2008-08-26,0.0
2008-09-04,-15.3846
2008-09-09,-54.5455
2008-09-11,-17.5
