ticker,NFBK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-11-09,1.2428
2007-11-12,1.0409
2007-11-13,2.8064
2007-11-14,2.8207
2007-11-15,3.2743
2007-11-16,-1.114
2007-11-19,-4.6794
2007-11-20,1.3636
2007-11-21,-3.5874
2007-11-23,-0.186
2007-11-26,-1.6775
2007-11-27,0.4739
2007-11-28,1.4151
2007-11-29,-0.9302
2007-11-30,0.2817
2007-12-03,-1.6854
2007-12-04,0.6667
2007-12-05,-0.7569
2007-12-06,0.286
2007-12-07,-0.2852
2007-12-10,1.5253
2007-12-11,-0.7512
2007-12-12,0.2838
2007-12-13,-1.5093999999999999
2007-12-14,0.0
2007-12-17,-0.4789
2007-12-18,-3.9461
2007-12-19,0.2004
2007-12-20,-0.4
2007-12-21,4.9197
2007-12-24,3.7321
2007-12-26,0.5535
2007-12-27,-3.7615
2007-12-28,-1.8112
2007-12-31,5.0485
2008-01-02,-3.4196
2008-01-03,-3.5407
2008-01-04,0.3968
2008-01-07,0.0
2008-01-08,-0.8893
2008-01-09,1.6949
2008-01-10,-0.5882
2008-01-11,-0.3945
2008-01-14,1.3860999999999999
2008-01-15,-0.293
2008-01-16,-0.6856
2008-01-17,-0.0986
2008-01-18,-0.9872
2008-01-22,-0.0997
2008-01-23,2.7944
2008-01-24,-1.068
2008-01-25,0.5888
2008-01-28,1.9512
2008-01-29,1.0526
2008-01-30,-1.7045
2008-01-31,1.2524
2008-02-01,-0.5709
2008-02-04,-0.6699
2008-02-05,-1.1561
2008-02-06,1.462
2008-02-07,0.9606
2008-02-08,-0.4757
2008-02-11,-2.4857
2008-02-12,1.8627
2008-02-13,1.0587
2008-02-14,-1.4285999999999999
2008-02-15,0.2899
2008-02-19,-0.289
2008-02-20,-1.7391
2008-02-21,0.7866
2008-02-22,0.3902
2008-02-25,0.9718
2008-02-26,0.9625
2008-02-27,-0.572
2008-02-28,-0.8629
2008-02-29,-0.9671
2008-03-03,-0.1953
2008-03-04,1.5655999999999999
2008-03-05,-2.0231
2008-03-06,0.0983
2008-03-07,-0.7859
2008-03-10,0.198
2008-03-11,1.7787
2008-03-12,-0.1942
2008-03-13,0.4864
2008-03-14,-1.0649
2008-03-17,-2.1526
2008-03-18,3.3
2008-03-19,-0.8712
2008-03-20,0.5859
2008-03-24,0.2913
2008-03-25,0.3872
2008-03-26,-0.1929
2008-03-27,-0.7729
2008-03-28,-1.7527
2008-03-31,1.5857
2008-04-01,1.4634
2008-04-02,-0.1923
