ticker,DSKE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-10-13,0.0
2015-10-16,-0.5208
2015-10-30,1.5707
2015-11-19,-1.5464
2015-11-30,1.5707
2015-12-15,-1.5464
2015-12-16,1.5707
2015-12-17,-1.0309
2015-12-21,-0.4167
2015-12-22,0.523
2015-12-23,-0.8325
2015-12-24,-0.3148
2015-12-28,1.0526
2015-12-29,-0.2083
2015-12-30,0.5219
2015-12-31,0.1038
2016-01-04,-0.1037
2016-01-05,-0.1038
2016-01-06,0.2079
2016-01-07,0.2075
2016-01-08,0.1035
2016-01-11,-0.1034
2016-01-12,-0.1035
2016-01-13,1.8808
2016-01-14,-0.829
2016-01-19,-1.5385
2016-01-20,0.7292
2016-01-21,0.3102
2016-01-27,-0.2062
2016-01-28,-0.3099
2016-01-29,-0.2073
2016-02-01,0.0
2016-02-02,0.0
2016-02-03,0.4154
2016-02-04,-0.1034
2016-02-05,0.207
2016-02-08,0.0
2016-02-11,0.2066
2016-02-16,0.0
2016-02-17,-0.3093
2016-02-19,-0.5171
2016-02-26,0.0
2016-02-29,0.0
2016-03-01,0.104
2016-03-03,0.1038
2016-03-07,0.1037
2016-03-08,0.0
2016-03-11,0.5181
2016-03-15,-0.4124
2016-03-18,0.207
2016-03-24,0.0
2016-04-04,1.7562
2016-04-05,-0.203
2016-04-06,0.0
2016-04-07,0.1017
2016-04-08,0.1016
2016-04-11,-0.1015
2016-04-12,0.0
2016-04-13,-0.0114
2016-04-14,0.0114
2016-04-15,0.0
2016-04-18,-0.0407
2016-04-19,-0.7727
2016-04-20,0.2766
2016-04-21,0.6437
2016-04-22,0.0
2016-04-25,-0.3046
2016-04-26,0.0
2016-04-27,0.2037
2016-04-28,-0.4065
2016-05-02,0.2978
2016-05-03,0.11
2016-05-04,-0.4065
2016-05-05,0.2755
2016-05-06,0.2258
2016-05-09,0.0
2016-05-10,0.0082
2016-05-11,-0.4061
2016-05-12,-0.2039
2016-05-13,0.6046
2016-05-16,-0.205
2016-05-17,0.1005
2016-05-18,-0.0457
2016-05-19,0.0559
2016-05-20,-0.202
2016-05-23,0.0936
2016-05-24,0.0083
2016-05-25,-0.0083
2016-05-26,0.0083
2016-05-27,-0.1017
2016-05-31,0.161
2016-06-01,0.0426
2016-06-02,0.1016
2016-06-03,-0.1015
2016-06-06,0.0
2016-06-08,-0.4065
2016-06-09,0.0
2016-06-10,0.3061
2016-06-13,-0.3052
2016-06-14,0.213
2016-06-15,-0.0089
