ticker,FBOO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-06-22,0.0
2008-03-10,-39.6552
2008-05-06,2.5714
2008-05-23,-2.507
2008-06-03,11.4286
2008-06-06,-3.3333
2008-10-06,-0.5305
2008-12-05,-13.0667
2008-12-09,0.0
2008-12-15,-1.8405
2008-12-17,-1.5625
2009-02-05,-33.3333
2009-02-23,-14.2857
2009-02-24,2.7778
2009-03-03,-2.7027
2009-03-31,0.0
2010-03-15,67.2222
2012-02-08,-0.3322
2013-03-15,-6.0
2013-03-20,4.6099
2013-12-12,16.2712
2014-03-31,44.3149
2014-04-23,20.202
2014-06-11,-8.4034
2014-08-15,0.9174
2014-08-19,2.7273
2014-08-26,-2.6549
2014-09-03,-0.3636
2014-09-09,4.927
2014-09-10,0.0
2014-09-11,0.8696
2014-10-22,0.1724
2014-10-29,-0.1721
2015-01-26,8.6207
2015-01-27,-6.3413
2015-03-05,0.339
2015-06-02,2.1873
2015-08-28,-3.3058
2015-10-19,-2.0513
2016-01-20,-1.9197
2016-03-18,-3.9146
2016-04-04,-1.6481
2016-12-20,1.6287
2017-01-19,6.5308
2017-10-18,-2.6087
2017-11-08,5.3571
2018-06-18,-2.5423999999999998
2018-06-26,-3.4783
2018-06-27,0.0
2018-06-28,3.6036
2018-08-01,0.0
2018-09-12,0.0
2019-01-03,1.7391
2020-01-23,2.5641
2020-03-17,1.6667
