ticker,CFBI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-05-01,1.3544
2017-05-02,0.7424
2017-05-03,-0.7369
2017-05-04,-0.5197
2017-05-05,-0.2239
2017-05-08,0.2244
2017-05-09,0.0
2017-05-10,-0.4478
2017-05-11,-1.6492
2017-05-12,-0.3049
2017-05-15,-0.4191
2017-05-16,0.0369
2017-05-17,0.1535
2017-05-18,-0.1657
2017-05-19,0.166
2017-05-22,0.0766
2017-05-23,0.1531
2017-05-24,-0.3058
2017-05-25,0.0767
2017-05-26,0.0
2017-05-30,-0.1073
2017-05-31,0.1074
2017-06-01,0.0
2017-06-02,0.1533
2017-06-05,0.6121
2017-06-06,2.2814
2017-06-07,-0.0743
2017-06-08,0.8929
2017-06-09,1.4012
2017-06-12,8.8
2017-06-13,-1.8717000000000001
2017-06-14,1.4304999999999999
2017-06-15,-4.1639
2017-06-16,-8.7596
2017-06-19,5.53
2017-06-20,-0.0728
2017-06-21,-0.1457
2017-06-22,-2.0423
2017-06-23,5.659
2017-06-26,-4.5102
2017-06-27,1.1808
2017-06-28,-1.7505
2017-06-30,0.4454
2017-07-03,0.813
2017-07-05,-0.2199
2017-07-06,1.0287
2017-07-07,1.6726999999999999
2017-07-10,-1.7883
2017-07-11,-2.8405
2017-07-12,1.3493
2017-07-13,-1.5533000000000001
2017-07-14,-0.0751
2017-07-17,1.4285999999999999
2017-07-18,-0.6672
2017-07-19,-0.2985
2017-07-20,-1.4978
2017-07-21,1.5965
2017-07-24,-1.2953999999999999
2017-07-25,-0.3546
2017-07-26,-0.2281
2017-07-27,-0.4573
2017-07-28,0.9188
2017-07-31,-1.2898
2017-08-01,0.0769
2017-08-02,0.8449
2017-08-03,-0.5331
2017-08-07,0.3063
2017-08-08,0.3817
2017-08-09,-0.3802
2017-08-10,-1.9008
2017-08-11,0.7704
2017-08-14,-0.3861
2017-08-15,-1.1628
2017-08-16,0.3137
2017-08-17,-1.2901
2017-08-18,0.3564
2017-08-21,1.026
2017-08-22,-0.025
2017-08-23,1.4316
2017-08-24,-0.1541
2017-08-25,-0.7716
2017-08-28,0.0
2017-08-29,-2.1773
2017-08-30,-0.318
2017-08-31,-0.319
2017-09-01,-1.2
2017-09-05,0.136
2017-09-06,-0.055
2017-09-07,-2.1036
2017-09-08,3.8017
2017-09-11,0.1592
2017-09-12,1.5897999999999999
2017-09-13,2.6604
2017-09-14,0.3811
2017-09-15,1.6705
2017-09-18,0.0747
2017-09-19,0.9701
2017-09-20,-1.1826
