ticker,GBDC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-04-15,1.4483
2010-04-16,-0.068
2010-04-19,0.1361
2010-04-20,0.8832
2010-04-21,-0.3367
2010-04-22,-0.5405
2010-04-23,0.5435
2010-04-26,-0.9459
2010-04-27,-0.7503
2010-04-28,1.0309
2010-04-29,0.0
2010-04-30,-1.3605
2010-05-03,0.069
2010-05-04,0.6203
2010-05-05,-0.3425
2010-05-06,-0.3436
2010-05-07,0.2759
2010-05-10,-0.1376
2010-05-11,0.0689
2010-05-12,-0.2065
2010-05-13,0.0
2010-05-14,0.0
2010-05-17,-2.1379
2010-05-18,-5.074
2010-05-19,-0.5197
2010-05-20,0.7463
2010-05-21,-4.8148
2010-05-24,3.2685
2010-05-25,0.6029
2010-05-26,2.2472
2010-05-27,2.1978
2010-05-28,1.362
2010-06-01,-0.7779
2010-06-02,0.784
2010-06-03,-2.4045
2010-06-04,0.942
2010-06-07,0.323
2010-06-08,-2.1825
2010-06-09,1.4631
2010-06-10,0.6489
2010-06-11,3.0086
2010-06-14,0.0695
2010-06-15,1.3899
2010-06-16,-0.5483
2010-06-17,0.2757
2010-06-18,1.0997
2010-06-21,0.5556
2010-06-22,0.0691
2010-06-23,0.0
2010-06-24,0.9662
2010-06-25,0.1367
2010-06-28,-1.9795
2010-06-29,-0.2089
2010-06-30,0.6281
2010-07-01,-2.3578
2010-07-02,-0.4972
2010-07-06,-1.2848
2010-07-07,4.6998999999999995
2010-07-08,-0.5525
2010-07-09,-1.875
2010-07-12,-0.8493
2010-07-13,2.7123
2010-07-14,-1.6678
2010-07-15,-0.5654
2010-07-16,-1.0661
2010-07-19,1.3649
2010-07-20,1.63
2010-07-21,-0.9066
2010-07-22,0.2815
2010-07-23,0.0
2010-07-26,-0.7719
2010-07-27,1.2023
2010-07-28,-1.5373999999999999
2010-07-29,-0.4258
2010-07-30,0.0
2010-08-02,0.784
2010-08-03,0.7779
2010-08-04,1.6139999999999999
2010-08-05,-0.6215
2010-08-06,-1.8763
2010-08-09,0.9207
2010-08-10,-1.1228
2010-08-11,1.2065
2010-08-12,2.6648
2010-08-13,-1.0246
2010-08-16,1.3112
2010-08-17,-0.6812
2010-08-18,-1.166
2010-08-19,0.6246
2010-08-20,0.0
2010-08-23,0.2069
2010-08-24,-0.8947
2010-08-25,0.625
2010-08-26,-0.5521
2010-08-27,0.7634
2010-08-30,-1.7906
2010-08-31,0.3506
2010-09-01,2.4458
2010-09-02,-0.3411
2010-09-03,0.0
