ticker,MKRYF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-04-20,-3.2965
2011-04-21,0.0198
2011-04-29,-2.7561999999999998
2011-05-16,-8.1643
2011-05-17,0.118
2011-05-19,2.2392
2011-05-25,0.0
2011-05-26,-0.7493
2011-06-02,9.5129
2011-06-08,-2.1642
2011-06-10,-2.981
2011-06-14,-2.4511
2011-06-15,-0.4009
2011-06-24,-8.5747
2011-07-07,6.9182
2011-07-08,-1.4412
2011-07-14,-0.9326
2011-07-22,5.279
2011-07-25,-2.7182
2011-07-29,-0.8235
2011-08-04,-5.1898
2011-08-08,-10.7366
2011-08-19,-14.4985
2011-09-19,8.3607
2011-09-26,18.7595
2011-09-27,7.0064
2011-09-28,-1.5774
2011-09-29,-3.6287000000000003
2011-09-30,2.1023
2011-10-03,-7.5599
2011-10-04,-5.2527
2011-10-05,10.526299999999999
2011-10-14,20.5198
2011-10-17,6.7597000000000005
2011-10-19,-2.9361
2011-10-24,0.3908
2011-10-25,-5.0135
2011-10-26,1.2962
2011-10-27,5.2632
2011-11-01,-8.5
2011-11-02,7.1038
2011-11-03,-1.6837
2011-11-04,-1.7222
2011-11-07,2.0164
2011-11-08,0.2847
2011-11-09,-4.5161
2011-11-11,2.2973
2011-11-14,-0.819
2011-11-16,-5.9303
2011-11-18,-3.5786
2011-11-22,-4.8458
2011-11-23,-8.0247
2011-11-29,10.0671
2011-11-30,2.9268
2011-12-02,-1.718
2011-12-14,-19.1983
2011-12-20,12.9569
2011-12-29,2.9058
2012-01-03,1.7528000000000001
2012-01-06,2.8067
2012-01-10,1.0851
2012-01-12,-2.2873
2012-01-13,-0.2717
2012-01-17,24.5621
2012-01-18,-21.45
2012-01-19,4.5831
2012-01-23,0.0609
2012-01-25,0.2433
2012-01-27,-1.0733
2012-01-30,5.5319
2012-01-31,2.1215
2012-02-01,0.619
2012-02-03,-0.0672
2012-02-07,-2.9539999999999997
2012-02-08,1.4873
2012-02-09,1.0812
2012-02-13,-0.501
2012-02-15,5.7143
2012-02-22,1.6216
2012-02-23,4.3451
2012-02-24,-1.6153
2012-02-27,3.0311
2012-02-28,-1.9361000000000002
2012-03-01,-2.5641
2012-03-02,0.1316
2012-03-06,-5.7293
2012-03-23,-2.3348
2012-03-26,1.7626
2012-03-27,0.6452
2012-04-02,-4.6544
2012-04-04,-2.9524
2012-04-05,-0.6024
2012-04-09,-8.7879
2012-04-12,0.0
2012-04-13,0.3322
2012-04-17,-4.0397
2012-04-19,0.069
