ticker,HFGVF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-11-11,10.0897
2004-11-12,1.0183
2005-01-05,-5.8065
2005-01-24,-3.8955
2005-01-25,2.4499
2005-02-10,12.0299
2005-02-17,3.1897
2005-04-11,-17.0702
2005-05-05,-10.2041
2005-05-06,-1.5152
2005-06-07,0.6218
2005-06-17,-3.2681
2005-06-22,6.4278
2005-06-27,-2.4752
2005-08-09,12.9442
2005-08-12,-1.573
2005-09-20,-2.0548
2005-10-06,-3.0682
2006-01-09,11.6542
2006-01-10,4.0276
2006-01-31,13.2505
2006-02-01,0.9141
2006-02-07,-0.3623
2006-02-08,-0.5455
2006-02-09,0.6947
2006-02-13,-5.9504
2006-02-17,3.856
2006-02-28,3.8522
2006-03-08,7.8169
2006-03-10,5.4781
2006-03-13,0.724
2006-03-14,-1.5625
2006-03-15,-0.4444
2006-03-16,2.4554
2006-03-20,2.0347
2006-03-21,-2.3907
2006-03-28,14.6875
2006-03-30,-1.2074
2006-03-31,-2.0875
2006-04-03,-1.4085
2006-04-11,0.0
2006-04-13,-5.7143
2006-04-17,-0.1117
2006-04-18,-2.3151
2006-04-20,2.6398
2006-04-24,1.059
2006-04-27,-1.4969999999999999
2006-05-01,-4.8081
2006-05-02,0.3892
2006-05-03,6.3931000000000004
2006-05-05,-1.3639999999999999
2006-05-10,5.645
2006-05-12,-2.4565
2006-05-16,-5.4007
2006-05-23,-9.7392
2006-06-01,17.3735
2006-06-14,-18.3566
2006-06-27,8.7415
2006-07-07,3.7126
2006-07-10,3.3566
2006-07-11,-0.3238
2006-07-17,3.5752
2006-07-27,0.3622
2006-08-08,0.9561
2006-08-09,0.1142
2006-08-17,-3.9642
2006-08-21,-0.4216
2006-08-22,-0.4753
2006-08-24,-6.2554
2006-08-25,-2.9703
2006-08-28,2.0408
2006-08-31,-1.4708
2006-09-05,-2.5669
2006-09-26,7.8819
2006-09-27,7.1512
2006-10-03,-1.7778
2006-10-18,2.7523
2006-10-19,14.2857
2006-10-30,-2.3649
2006-12-19,0.4218
2006-12-21,-1.2716
2007-01-05,-2.2901
2007-01-08,5.3517
2007-01-09,3.3534
2007-01-11,2.0435
2007-01-16,5.1759
2007-01-17,-0.0177
2007-01-18,-4.5833
2007-01-25,4.5164
2007-01-26,3.8723
2007-01-30,5.0985
2007-02-02,2.5947
2007-02-06,-2.951
2007-02-07,7.5652
2007-02-09,-3.1932
2007-02-15,0.6472
2007-02-16,1.7151999999999998
2007-02-20,-1.3803
