ticker,NREF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-02-07,-1.0526
2020-02-10,0.266
2020-02-11,0.5836
2020-02-12,0.0527
2020-02-13,-0.0527
2020-02-14,1.0021
2020-02-18,-1.3054999999999999
2020-02-19,0.5291
2020-02-20,0.1053
2020-02-21,0.9989
2020-02-24,-1.3014000000000001
2020-02-25,0.1582
2020-02-26,0.2633
2020-02-27,-2.5735
2020-02-28,0.5391
2020-03-02,-0.8043
2020-03-03,2.5946
2020-03-04,0.6322
2020-03-05,-3.6126
2020-03-06,-2.7702
2020-03-09,-7.4302
2020-03-10,4.0435
2020-03-11,-4.2923
2020-03-12,-8.9091
2020-03-13,-0.2661
2020-03-16,-13.2755
2020-03-17,-8.3846
2020-03-18,-28.6314
2020-03-19,-3.2941
2020-03-20,21.8954
2020-03-23,-22.7551
2020-03-24,-16.2483
2020-03-25,7.7287
2020-03-26,3.3675
2020-03-27,33.8527
2020-03-30,-8.1481
2020-03-31,11.1751
2020-04-01,-4.6632
2020-04-02,-8.1522
2020-04-03,-5.9172
2020-04-06,3.1447
2020-04-07,10.3659
2020-04-08,9.3923
2020-04-09,10.6061
2020-04-13,-7.3059
2020-04-14,22.1675
2020-04-15,-5.0
2020-04-16,-10.6961
2020-04-17,1.7109999999999999
2020-04-20,2.9907
2020-04-21,-2.4501
2020-04-22,-0.3721
2020-04-23,1.3072
2020-04-24,-0.4608
2020-04-27,1.8519
2020-04-28,2.6364
2020-04-29,6.9973
2020-04-30,-5.1325
2020-05-01,-1.8325
2020-05-04,-4.0
2020-05-05,-1.2963
2020-05-06,12.5704
2020-05-07,0.0
2020-05-08,0.9167
2020-05-11,-2.4773
2020-05-12,0.7621
2020-05-13,-3.9496
2020-05-14,-4.7244
2020-05-15,-3.0303
2020-05-18,4.7348
2020-05-19,-0.5425
2020-05-20,9.0909
2020-05-21,12.5
2020-05-22,7.4074
2020-05-26,11.5172
2020-05-27,-2.1027
2020-05-28,4.4852
2020-05-29,-1.2696
2020-06-01,1.4697
2020-06-02,1.0863
2020-06-03,5.2537
2020-06-04,-0.9643
2020-06-05,1.0882
2020-06-08,-6.1756
2020-06-09,-6.099
2020-06-10,2.8939
2020-06-11,-3.0625
2020-06-12,0.5803
2020-06-15,7.3026
2020-06-16,-0.3066
2020-06-17,-0.984
2020-06-18,1.4907
2020-06-19,0.306
2020-06-22,2.4405
2020-06-23,-0.3574
2020-06-24,-1.853
2020-06-25,1.0352999999999999
2020-06-26,0.7233
2020-06-29,1.2567
2020-06-30,-1.0047
2020-07-01,0.7164
2020-07-02,0.0593
2020-07-06,-1.8957000000000002
2020-07-07,-6.401
2020-07-08,-3.871
2020-07-09,-0.6711
2020-07-10,0.1351
2020-07-13,-1.2821
2020-07-14,2.7340999999999998
2020-07-15,-0.1996
2020-07-16,1.2
2020-07-17,-0.1318
2020-07-20,-0.7256
2020-07-21,0.0664
2020-07-22,4.7809
2020-07-23,-0.8238
2020-07-24,-8.9457
2020-07-27,9.614
2020-07-28,-0.7682
2020-07-29,-2.9032
2020-07-30,3.8538
2020-07-31,1.7274
