ticker,ZYJT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-06-17,566.6667
2010-06-18,-10.0
2010-06-28,-11.1111
2010-07-30,-37.5
2010-08-17,-40.0
2010-10-04,0.0
2011-05-09,133.3333
2011-08-10,642.8571
2014-07-01,-42.3077
2017-11-21,66.6667
2017-11-22,40.0
2017-11-27,0.0
2018-01-11,42.8571
2018-01-16,0.0
2018-01-30,-3.0
2018-02-16,-4.6392
2018-02-20,2.7027
2018-02-22,-17.8947
2018-03-14,-48.7179
2018-03-28,-12.475
2018-04-17,0.0
2018-05-08,122.7649
2018-07-02,-59.9949
2018-07-26,0.0
2019-07-31,-35.8974
2019-09-17,-87.5
2019-11-26,100.0
2020-06-05,10.0
